,BIL
2021-06-22,100.04368575453053
2021-06-23,100.06382979909505
2021-06-24,100.05239274694337
2021-06-25,99.99538957034501
2021-06-28,100.04602704088457
2021-06-29,100.00481352035845
2021-06-30,100.04421520177496
2021-07-01,100.05875301946891
2021-07-02,100.03998331372914
2021-07-05,100.03693098165927
2021-07-06,99.95647279612645
2021-07-07,99.88714088568017
2021-07-08,99.92026726014551
2021-07-09,100.05400047132609
2021-07-12,100.09796280119406
2021-07-13,100.03616565645824
2021-07-14,100.0447466155969
2021-07-15,99.95985484233978
2021-07-16,99.91281248186887
2021-07-19,99.86540885910838
2021-07-20,99.89566046097652
2021-07-21,99.87832213943314
2021-07-22,99.79252840959629
2021-07-23,99.71921707619005
2021-07-26,99.75517219333791
2021-07-27,99.64202496444626
2021-07-28,99.7076520899743
2021-07-29,99.74151169585149
2021-07-30,99.77174096553456
2021-08-02,99.72201817895044
2021-08-03,99.69913052978983
2021-08-04,99.69821441681482
2021-08-05,99.64407595964184
2021-08-06,99.5622799132836
2021-08-09,99.67230590092122
2021-08-10,99.6921293744502
2021-08-11,99.66307712379253
2021-08-12,99.69426601940843
2021-08-13,99.75216422296731
2021-08-16,99.77294508440711
2021-08-17,99.84428655828553
2021-08-18,99.81309174769058
2021-08-19,99.7560416676788
2021-08-20,99.83974143246357
2021-08-23,99.94538610046358
2021-08-24,99.89866664148207
2021-08-25,99.90031650590923
2021-08-26,99.9568561440911
2021-08-27,99.93539332509253
2021-08-30,99.99026456230712
2021-08-31,100.02580067360236
2021-09-01,100.02681107688424
2021-09-02,100.05598287679689
2021-09-03,99.99534113646462
2021-09-06,99.94398673546888
2021-09-07,100.07548595256233
2021-09-08,100.10773442609975
2021-09-09,100.1066809782176
2021-09-10,100.13980058731049
2021-09-13,100.16383102462414
2021-09-14,100.2406798547403
2021-09-15,100.21665360314616
2021-09-16,100.35186834367695
2021-09-17,100.24054244251145
2021-09-20,100.24428372632934
2021-09-21,100.28364515772792
2021-09-22,100.36141068151305
2021-09-23,100.37618259837662
2021-09-24,100.3601181942079
2021-09-27,100.46108974556903
2021-09-28,100.64476168665544
2021-09-29,100.62190956323668
2021-09-30,100.56843068197807
2021-10-01,100.583198559724
2021-10-04,100.49758885164866
2021-10-05,100.44284011542668
2021-10-06,100.38651851627529
2021-10-07,100.3924358590603
2021-10-08,100.50839038234795
2021-10-11,100.53504964887499
2021-10-12,100.6224041814333
2021-10-13,100.6829787490505
2021-10-14,100.75283780306022
2021-10-15,100.86778615892658
2021-10-18,100.78073011612827
2021-10-19,100.70145795183836
2021-10-20,100.75193910496205
2021-10-21,100.80342851602431
2021-10-22,100.76110320263847
2021-10-25,100.88529660599954
2021-10-26,100.97232636422102
2021-10-27,101.01395052540335
2021-10-28,101.01135690720425
2021-10-29,100.87621101436903
2021-11-01,100.958178761599
2021-11-02,101.06606582158149
2021-11-03,101.08561930965692
2021-11-04,101.0310875784884
2021-11-05,100.89696387355282
2021-11-08,100.85098331540068
2021-11-09,100.9016386864176
2021-11-10,100.98982712455964
2021-11-11,101.03219375730923
2021-11-12,101.05434995289639
2021-11-15,101.12325304478182
2021-11-16,101.14988445714145
2021-11-17,101.26910736542285
2021-11-18,101.36479071058872
2021-11-19,101.44907134542973
2021-11-22,101.4572530892107
2021-11-23,101.4967707338429
2021-11-24,101.45941773437708
2021-11-25,101.51960877278864
2021-11-26,101.56817844650354
2021-11-29,101.6876737416361
2021-11-30,101.7135068793972
2021-12-01,101.71448871813237
2021-12-02,101.84477208493763
2021-12-03,101.94709755639467
2021-12-06,102.01140176384602
2021-12-07,102.05598089440073
2021-12-08,101.942110573525
2021-12-09,101.92696874235192
2021-12-10,102.0640636778158
2021-12-13,102.04503633370652
2021-12-14,102.12935842992073
2021-12-15,102.17274585255676
2021-12-16,102.11316810407567
2021-12-17,102.15229816016722
2021-12-20,102.22444262990491
2021-12-21,102.22324589435785
2021-12-22,102.25489990085745
2021-12-23,102.28626787219221
2021-12-24,102.29963155627044
2021-12-27,102.27557037685379
2021-12-28,102.21329610106369
2021-12-29,102.17633168836564
2021-12-30,102.19975396926904
2021-12-31,102.33149156829384
2022-01-03,102.37551366337931
2022-01-04,102.43916433419737
2022-01-05,102.41143497288776
2022-01-06,102.38920124669653
2022-01-07,102.43784773079167
2022-01-10,102.46872843450241
2022-01-11,102.42910816199138
2022-01-12,102.37784404951465
2022-01-13,102.27363454183023
2022-01-14,102.3698075231503
2022-01-17,102.39280263961452
2022-01-18,102.34813384816076
2022-01-19,102.39506506047522
2022-01-20,102.44270014161896
2022-01-21,102.35163327239758
2022-01-24,102.39103992686024
2022-01-25,102.47508551226825
2022-01-26,102.68835594965351
2022-01-27,102.75139127348353
2022-01-28,102.73679506464988
2022-01-31,102.6715017672408
2022-02-01,102.59330844268366
2022-02-02,102.55961251771805
2022-02-03,102.65801120738065
2022-02-04,102.64871881589642
2022-02-07,102.76446506794532
2022-02-08,102.80969022190274
2022-02-09,102.94213091080515
2022-02-10,103.01623267665786
