,DBC
2021-06-22,99.5756154344064
2021-06-23,98.05732460142927
2021-06-24,96.98773966589211
2021-06-25,97.97873144707775
2021-06-28,99.51773825941586
2021-06-29,100.24311252722484
2021-06-30,98.94949926203647
2021-07-01,98.62725136222018
2021-07-02,99.15239155772608
2021-07-05,99.45477245782907
2021-07-06,99.90682877382183
2021-07-07,98.83616125527878
2021-07-08,99.15799359343164
2021-07-09,99.32876483621611
2021-07-12,99.82238515045066
2021-07-13,100.91175780858732
2021-07-14,101.40381813649803
2021-07-15,101.11505683001423
2021-07-16,101.68661208542376
2021-07-19,101.49290289718469
2021-07-20,101.03675769520079
2021-07-21,100.8383564211734
2021-07-22,100.72713224293734
2021-07-23,100.00164173559895
2021-07-26,99.6961064850641
2021-07-27,100.12649825626761
2021-07-28,100.13793633301236
2021-07-29,99.74826135725554
2021-07-30,100.13056475354949
2021-08-02,98.94157294733861
2021-08-03,100.7086696675529
2021-08-04,101.62062985755178
2021-08-05,102.97729364249113
2021-08-06,102.58732408974949
2021-08-09,102.06847051600259
2021-08-10,102.48157855378727
2021-08-11,102.7917143239361
2021-08-12,104.58522496570197
2021-08-13,104.3310182779996
2021-08-16,103.50793023041709
2021-08-17,102.61863644632996
2021-08-18,102.72833595943389
2021-08-19,104.05028964759504
2021-08-20,105.70483079396067
2021-08-23,104.0238243195819
2021-08-24,103.36717427037578
2021-08-25,101.0222894207779
2021-08-26,99.97276155556806
2021-08-27,99.1544931948146
2021-08-30,97.92640359987102
2021-08-31,97.87468528240261
2021-09-01,99.01804950577146
2021-09-02,100.48498409593938
2021-09-03,100.95861867915423
2021-09-06,101.0230836062878
2021-09-07,101.7315346653275
2021-09-08,101.4488407091432
2021-09-09,101.68731597476692
2021-09-10,102.29150212850354
2021-09-13,103.90562532429901
2021-09-14,103.24206762258619
2021-09-15,103.58120429775506
2021-09-16,102.36862540152305
2021-09-17,102.4653367108564
2021-09-20,103.0291861909159
2021-09-21,101.5889165651293
2021-09-22,100.4136614308359
2021-09-23,100.24611177642717
2021-09-24,100.0578900180205
2021-09-27,100.53150338855413
2021-09-28,100.27171215492554
