,IBIT
2021-06-22,95.51173275184824
2021-06-23,94.90313213583079
2021-06-24,99.02993070749704
2021-06-25,99.23106294344947
2021-06-28,101.08514016279673
2021-06-29,104.39452617473589
2021-06-30,102.34570915934762
2021-07-01,103.57643588535998
2021-07-02,102.1101532317832
2021-07-05,99.37317143581149
2021-07-06,102.07540202102889
2021-07-07,114.92846596346024
2021-07-08,112.28911742929701
2021-07-09,112.64261296667
2021-07-12,110.72058232071842
2021-07-13,103.19023988356994
2021-07-14,106.63104696826171
2021-07-15,110.03007220649235
2021-07-16,106.45087359774863
2021-07-19,101.14108199462328
2021-07-20,96.92824893077132
2021-07-21,86.68315830112792
2021-07-22,84.20567470416607
2021-07-23,88.15256430115078
2021-07-26,88.46801698904903
2021-07-27,92.38095731580391
2021-07-28,103.14328306521121
2021-07-29,107.46959475163054
2021-07-30,109.01144860142142
2021-08-02,116.06189816007463
2021-08-03,107.23312502155662
2021-08-04,106.48815541128633
2021-08-05,110.54910945971987
2021-08-06,114.68520274164611
2021-08-09,121.14798596224598
2021-08-10,123.61048094428438
2021-08-11,126.69097538104577
2021-08-12,118.74005885902248
2021-08-13,121.64426354755926
2021-08-16,116.96615147994818
2021-08-17,114.9893235837906
2021-08-18,115.94002988926782
2021-08-19,112.1923446437461
2021-08-20,100.46383129031568
2021-08-23,91.75499463652332
2021-08-24,93.14288441585845
2021-08-25,88.63945788357287
2021-08-26,88.07832532153628
2021-08-27,86.16788304261723
2021-08-30,84.3470402423526
2021-08-31,85.95485133241037
2021-09-01,87.46301965753884
2021-09-02,82.76010345613712
2021-09-03,91.19336234523924
2021-09-06,101.99888598169737
2021-09-07,108.61664633031063
2021-09-08,114.27940038957493
2021-09-09,112.40771040636636
2021-09-10,111.27743104585264
2021-09-13,115.91514024273341
2021-09-14,117.21149239544776
2021-09-15,116.25778677522662
2021-09-16,108.64732027566839
2021-09-17,111.12516313688249
2021-09-20,114.90178465670154
2021-09-21,114.25678213895229
2021-09-22,115.2470989786356
2021-09-23,118.38535579455196
2021-09-24,116.51189460841323
2021-09-27,118.14323639823922
2021-09-28,119.92245761223708
2021-09-29,126.72354485709567
2021-09-30,131.2102354331085
2021-10-01,131.50049713206568
2021-10-04,140.69065292773394
2021-10-05,148.5198051113205
2021-10-06,150.17754577565037
2021-10-07,156.42772861890532
2021-10-08,157.05394618403182
2021-10-11,152.36327810172986
2021-10-12,152.3445312225159
2021-10-13,144.4017440918321
2021-10-14,144.8902815560162
2021-10-15,143.43771157295328
2021-10-18,143.41297868278895
2021-10-19,141.20465707746231
2021-10-20,134.5507716690584
2021-10-21,129.02095506975513
2021-10-22,122.98721839461794
2021-10-25,119.98133370390822
2021-10-26,115.6915531501434
2021-10-27,114.15011452363515
2021-10-28,117.98357198326941
2021-10-29,123.48460326993194
2021-11-01,116.74196625093363
2021-11-02,126.84688282739256
2021-11-03,118.77445311249606
2021-11-04,117.04834265424715
2021-11-05,117.85257146533858
2021-11-08,112.64255410814441
2021-11-09,115.19480313962507
2021-11-10,115.5208334275482
2021-11-11,117.51670554817768
2021-11-12,112.5411562504729
2021-11-15,115.84122109162982
2021-11-16,110.52610440134939
2021-11-17,109.7716025647291
2021-11-18,105.15488998239857
2021-11-19,106.49432838402026
2021-11-22,109.36813868383946
2021-11-23,109.9683711213643
2021-11-24,122.62479361296046
2021-11-25,126.41125643940345
2021-11-26,123.25604363979043
2021-11-29,131.9358294652883
2021-11-30,137.39821499330313
2021-12-01,143.43272566492513
2021-12-02,143.95333082498132
2021-12-03,142.9656802986695
2021-12-06,143.52948714094654
2021-12-07,155.47190184238767
2021-12-08,154.1223051570652
2021-12-09,147.13366989011288
2021-12-10,151.81928945487704
2021-12-13,142.85058616141959
2021-12-14,144.3728947399307
2021-12-15,146.23532747775982
2021-12-16,159.35359639324741
2021-12-17,153.06251537379222
2021-12-20,153.69224270489406
2021-12-21,146.80733500813324
2021-12-22,147.0205435671328
2021-12-23,154.11628977929075
2021-12-24,151.74532743139076
2021-12-27,162.15974055561728
2021-12-28,168.15775219388684
2021-12-29,163.3905206422758
2021-12-30,157.78703163452784
2021-12-31,155.40908915020051
2022-01-03,157.52853908698526
2022-01-04,155.5899017791731
2022-01-05,149.43819948442413
2022-01-06,130.16368208740073
2022-01-07,142.03180658136984
2022-01-10,135.17909256769184
2022-01-11,140.28532763650517
2022-01-12,129.79981941845324
2022-01-13,136.82057307613923
2022-01-14,142.77301748150887
2022-01-17,142.0593660867888
2022-01-18,143.80710873229324
2022-01-19,144.43286733280056
2022-01-20,146.7181817502405
2022-01-21,139.73897117925958
2022-01-24,141.35496604892361
2022-01-25,151.69888007635785
2022-01-26,147.09611328687814
2022-01-27,145.23347002723588
2022-01-28,142.28572674399598
2022-01-31,128.9938393871562
2022-02-01,128.03057076913603
2022-02-02,130.0325464401541
2022-02-03,132.049675332588
2022-02-04,128.11655028961874
2022-02-07,127.33825168152886
2022-02-08,129.4716126308045
2022-02-09,122.92818342102679
2022-02-10,117.17671827781031
2022-02-11,121.30000257713816
2022-02-14,118.59697270526395
2022-02-15,118.10451481807374
2022-02-16,119.46440270103275
2022-02-17,125.02198035898688
2022-02-18,124.09077977130356
2022-02-21,121.77575828295795
2022-02-22,124.22313960125231
2022-02-23,130.54644987682912
2022-02-24,120.65369367103835
2022-02-25,112.61006025043463
2022-02-28,114.15619095236804
2022-03-01,113.93670201085794
2022-03-02,114.84895776266173
2022-03-03,112.60664557402175
2022-03-04,113.15357701793832
2022-03-07,113.55045343822927
2022-03-08,119.84695445241809
2022-03-09,118.25694592160512
2022-03-10,118.42559214496984
2022-03-11,122.18091766908603
2022-03-14,125.77185646207751
2022-03-15,124.65617736680024
2022-03-16,125.715885142207
2022-03-17,123.26220498185691
2022-03-18,118.71652625679073
2022-03-21,108.80737868908945
2022-03-22,103.01990579998548
2022-03-23,105.25702675102326
2022-03-24,111.26529530776472
2022-03-25,110.6610745855811
2022-03-28,101.75186273593573
2022-03-29,105.11974465480836
2022-03-30,107.90983345010974
2022-03-31,103.22533388484743
2022-04-01,106.22556609092359
2022-04-04,106.55168006548253
2022-04-05,110.50761047537885
2022-04-06,112.68223483321617
2022-04-07,114.2487778543192
2022-04-08,114.79459853438911
2022-04-11,111.86182571738283
2022-04-12,116.62705991308606
2022-04-13,128.7168825347063
2022-04-14,126.47963058323124
2022-04-15,132.62892970409587
2022-04-18,136.49723020915903
2022-04-19,146.5886278305216
2022-04-20,148.15594960722345
2022-04-21,143.9517410732672
2022-04-22,148.51608952125565
2022-04-25,158.68450305753598
2022-04-26,158.8896443623408
2022-04-27,159.7506588360136
2022-04-28,169.51097542994293
2022-04-29,177.1620192619387
2022-05-02,181.9944340486221
2022-05-03,167.56973841957034
2022-05-04,177.98830515277044
2022-05-05,178.83800974388228
2022-05-06,181.57070207655025
2022-05-09,177.76867582520651
2022-05-10,186.7240786437818
2022-05-11,173.37217702658089
2022-05-12,171.05919770422005
2022-05-13,179.12026429926462
2022-05-16,178.24330050667467
2022-05-17,195.6706365784732
2022-05-18,199.26486521977677
2022-05-19,187.1494033645038
2022-05-20,188.22166862719578
2022-05-23,185.71098807108135
2022-05-24,169.65189922484387
2022-05-25,171.25136443744196
2022-05-26,171.5402253761417
2022-05-27,166.6319153842841
2022-05-30,159.50323991125478
2022-05-31,159.99425337786934
2022-06-01,165.27967042386067
2022-06-02,159.57312866164298
2022-06-03,163.58300976770894
2022-06-06,169.78543757256494
2022-06-07,168.6009745068929
2022-06-08,175.95044280835435
2022-06-09,170.76332226103438
2022-06-10,180.43171562029582
2022-06-13,185.1794435984208
2022-06-14,167.53333946733082
2022-06-15,173.7890417720635
2022-06-16,180.70779362434808
2022-06-17,186.72474953943444
2022-06-20,182.34741416716324
2022-06-21,192.43028752169351
2022-06-22,190.4856679180456
2022-06-23,194.00810353512563
2022-06-24,181.47827736576895
