,IEF
2021-06-22,99.73105419629104
2021-06-23,98.7969804433153
2021-06-24,98.92405002659595
2021-06-25,99.23924244952083
2021-06-28,99.20171643881167
2021-06-29,98.98075617943994
2021-06-30,99.189748674746
2021-07-01,99.22105829569416
2021-07-02,99.0077973641542
2021-07-05,99.33496983418533
2021-07-06,99.3221991737522
2021-07-07,99.95241571797715
2021-07-08,100.39221239106195
2021-07-09,100.21966271642317
2021-07-12,100.1822667384017
2021-07-13,99.70147004754539
2021-07-14,100.1064744328972
2021-07-15,100.52542150492268
2021-07-16,101.10909767277265
2021-07-19,100.09638757242776
2021-07-20,99.97423116797454
2021-07-21,99.71448246159696
2021-07-22,99.75322136611588
2021-07-23,99.72666591695481
2021-07-26,99.77659176679792
2021-07-27,99.41804128984553
2021-07-28,99.53761059625566
2021-07-29,99.70468060883957
2021-07-30,99.15155076637366
2021-08-02,99.5656946974065
2021-08-03,99.45980931787143
2021-08-04,99.5677666276212
2021-08-05,99.71174852176934
2021-08-06,99.32248441699325
2021-08-09,99.48518619539887
2021-08-10,99.27294914766163
2021-08-11,100.01596717641684
2021-08-12,99.77044057432403
2021-08-13,99.55889164140915
2021-08-16,99.7931654517805
2021-08-17,99.92944946165436
2021-08-18,99.77698388212656
2021-08-19,99.6824533979052
2021-08-20,100.16230064939407
2021-08-23,100.42971356412286
2021-08-24,100.67801985299114
2021-08-25,100.69103339563499
2021-08-26,100.42305045114985
2021-08-27,100.7188628031743
2021-08-30,101.46006803408183
2021-08-31,101.81055183550404
2021-09-01,101.15314070280199
2021-09-02,101.64567164708662
2021-09-03,102.13628297621271
2021-09-06,102.31209136721372
2021-09-07,102.51007271341079
2021-09-08,102.47726696101147
2021-09-09,102.66280048047258
2021-09-10,103.15595431006747
2021-09-13,103.95550144153117
2021-09-14,103.96558465467065
2021-09-15,103.9453126293891
2021-09-16,103.57517224161867
2021-09-17,103.84136683709531
2021-09-20,104.25969135100281
2021-09-21,104.21025328196197
2021-09-22,104.5214097710727
2021-09-23,104.76459165371527
2021-09-24,105.10223466594869
2021-09-27,105.1115184359074
2021-09-28,106.08213441953049
2021-09-29,106.40991977875314
2021-09-30,106.53372873446494
2021-10-01,106.10916295543522
2021-10-04,106.81210741702346
2021-10-05,107.25699041927102
2021-10-06,107.65234344877896
2021-10-07,107.75489235126241
2021-10-08,107.66043537871741
2021-10-11,108.17930334680761
2021-10-12,108.87614264218341
2021-10-13,107.97253807964154
2021-10-14,107.9740637879399
2021-10-15,107.13503889226257
2021-10-18,107.31146761077457
2021-10-19,107.1379953035347
2021-10-20,107.26549680088515
2021-10-21,107.38418951509227
2021-10-22,107.44306071528389
2021-10-25,107.06839391070528
2021-10-26,106.70799389080949
2021-10-27,107.18092631986526
2021-10-28,106.45930113521946
2021-10-29,106.9583564341599
2021-11-01,106.2080030454202
2021-11-02,106.62314452670776
2021-11-03,107.02150861651351
2021-11-04,107.81889113886889
2021-11-05,108.82875701728933
2021-11-08,108.71195722561981
2021-11-09,109.29082431206818
2021-11-10,108.72213186207276
2021-11-11,108.40075622616754
2021-11-12,108.29476675525368
2021-11-15,109.0906866717218
2021-11-16,109.1357858422848
2021-11-17,108.94505315467468
2021-11-18,109.02002540091011
2021-11-19,108.67963873262127
2021-11-22,108.25012919200312
2021-11-23,108.4510067347744
2021-11-24,108.98288617967236
2021-11-25,109.09098139561542
2021-11-26,109.05407457179659
2021-11-29,109.49024236738343
2021-11-30,108.90119089400427
2021-12-01,109.27962990034786
2021-12-02,109.27321626338437
2021-12-03,109.75251890455877
2021-12-06,109.94030632863523
2021-12-07,110.00095006925537
2021-12-08,109.32942624543327
2021-12-09,109.61075085626806
2021-12-10,109.55677012866182
2021-12-13,110.14300652961569
2021-12-14,110.02736619932429
2021-12-15,109.91623263782601
2021-12-16,109.1285594103951
2021-12-17,109.14194206043666
2021-12-20,108.56456285571691
2021-12-21,109.00061983992626
2021-12-22,109.13353375649596
2021-12-23,109.35171689973531
2021-12-24,109.59782889798049
2021-12-27,110.33385464222071
2021-12-28,110.46354112541398
2021-12-29,110.9652835796367
2021-12-30,110.59585661748332
2021-12-31,110.45990182888528
2022-01-03,110.60174718625855
2022-01-04,110.72095612369279
2022-01-05,110.30770773785557
2022-01-06,109.68771487621348
2022-01-07,110.42636175970301
2022-01-10,110.752434151133
2022-01-11,110.78095466440534
2022-01-12,110.43400340938365
2022-01-13,110.14486797468454
2022-01-14,109.75757594442474
2022-01-17,109.69958603061191
2022-01-18,108.82348749200254
2022-01-19,108.09403205094029
2022-01-20,108.31370856924418
2022-01-21,108.85479489389121
2022-01-24,109.26633837650806
2022-01-25,109.43363771875943
2022-01-26,109.21043980512628
2022-01-27,109.39277908767093
2022-01-28,109.63647455802436
2022-01-31,109.56514153188057
2022-02-01,110.18351532123023
2022-02-02,110.29298669546601
2022-02-03,110.3077357501085
2022-02-04,110.30531664824382
2022-02-07,110.35738502135497
2022-02-08,110.08107929509995
2022-02-09,110.38327653266036
2022-02-10,110.72514193946579
2022-02-11,110.520828439606
2022-02-14,110.24436999488634
2022-02-15,109.58280314195174
2022-02-16,109.61122702584487
2022-02-17,110.12694097403939
2022-02-18,109.31160132885832
2022-02-21,109.36295781449286
2022-02-22,109.28793167905513
2022-02-23,109.80030693465285
2022-02-24,110.03744856372717
2022-02-25,110.29216107968595
2022-02-28,110.35024685002372
2022-03-01,110.66457571113565
2022-03-02,110.38785209401534
2022-03-03,110.70513433305649
2022-03-04,110.49518718829951
2022-03-07,111.05584036023552
2022-03-08,111.18009695421821
2022-03-09,110.87777738687592
2022-03-10,111.25389340208578
2022-03-11,112.41470731960446
2022-03-14,112.48283434802167
2022-03-15,112.32747961831507
2022-03-16,112.77393529576531
2022-03-17,113.26157245506982
2022-03-18,112.86502802850151
2022-03-21,113.22370168457445
2022-03-22,113.28455016065242
2022-03-23,112.7390454872502
2022-03-24,112.56109383441988
2022-03-25,113.21482676081891
2022-03-28,113.57653838973157
2022-03-29,113.01077712097181
2022-03-30,113.19594458342472
2022-03-31,113.21684109318579
2022-04-01,112.55093602092843
2022-04-04,112.25922928818623
2022-04-05,111.61657043236856
2022-04-06,111.81822289796388
2022-04-07,111.22199141117635
2022-04-08,111.13221148364865
2022-04-11,112.33492788217735
2022-04-12,112.7004707315018
2022-04-13,112.7330704175184
2022-04-14,112.41424665392952
2022-04-15,113.37732229292187
2022-04-18,113.833702287559
2022-04-19,113.81685732342261
2022-04-20,113.88737742544679
2022-04-21,113.6006931097929
2022-04-22,113.88892600835779
2022-04-25,113.64072139086258
2022-04-26,113.41398864051182
2022-04-27,113.5115526357938
2022-04-28,114.04167024973553
2022-04-29,113.80305908308314
2022-05-02,113.51682362326281
2022-05-03,113.38568870319679
2022-05-04,113.61886682832234
2022-05-05,113.36932046723123
2022-05-06,113.96505617624875
2022-05-09,113.50568656045168
2022-05-10,113.75472196547842
2022-05-11,113.91247835378894
2022-05-12,113.83243367717736
2022-05-13,113.28089239626374
2022-05-16,114.06595623673306
2022-05-17,114.55808288420424
2022-05-18,114.94598136965621
2022-05-19,115.12217318275282
2022-05-20,115.25045562437609
2022-05-23,115.23371570622507
2022-05-24,115.85019629358591
2022-05-25,115.69291210412453
2022-05-26,115.72157884901884
2022-05-27,115.2409855901529
2022-05-30,115.51854537482282
2022-05-31,114.8571933742356
2022-06-01,114.61029242650311
2022-06-02,114.54572671195704
2022-06-03,113.81164291546693
2022-06-06,113.53046613641773
2022-06-07,114.29631972046046
2022-06-08,114.38375588039365
2022-06-09,113.61028338217226
2022-06-10,112.96212676757784
2022-06-13,113.24936724736972
2022-06-14,113.3883851707433
2022-06-15,113.90359484067476
2022-06-16,113.95701170040805
2022-06-17,113.85707868565613
2022-06-20,113.82359131319069
2022-06-21,114.00144023163865
2022-06-22,113.89066088380434
2022-06-23,114.09643706381804
2022-06-24,114.54265714121557
2022-06-27,114.05859048385281
2022-06-28,113.67924632313826
2022-06-29,113.62934177874382
2022-06-30,113.88926453961756
2022-07-01,113.84472686570683
2022-07-04,114.11989017415256
2022-07-05,114.00097756530157
2022-07-06,114.47105885753896
2022-07-07,114.76711172782394
2022-07-08,114.10974930459088
2022-07-11,114.02980924954295
2022-07-12,114.39341501533708
2022-07-13,114.47418758779884
2022-07-14,114.17563493118756
2022-07-15,113.76385481013733
2022-07-18,114.08181318342822
2022-07-19,114.60693337637791
2022-07-20,113.83986438406207
2022-07-21,113.63335808690518
2022-07-22,114.25593852469895
2022-07-25,113.89029081172133
2022-07-26,113.8890268950302
2022-07-27,114.22644891048952
