,ITOT
2021-06-22,101.02424533872953
2021-06-23,102.34978620857422
2021-06-24,101.60291583502786
2021-06-25,102.33927092979576
2021-06-28,103.55205846802735
2021-06-29,101.97692165177887
2021-06-30,100.24747548028625
2021-07-01,101.23802026932769
2021-07-02,101.86568166674157
2021-07-05,102.11251235657122
2021-07-06,102.39679370854884
2021-07-07,101.16375834264898
2021-07-08,99.96486242785488
2021-07-09,100.60817673145948
2021-07-12,99.71320960152109
2021-07-13,98.87920974049726
2021-07-14,98.51521348920029
2021-07-15,97.33057477202263
2021-07-16,95.38987417099413
2021-07-19,95.14257818339777
2021-07-20,95.11377960665288
2021-07-21,94.4227407151282
2021-07-22,95.80956782246672
2021-07-23,97.06823025256
2021-07-26,97.12259684745025
2021-07-27,97.41139068041862
2021-07-28,98.62315088062901
2021-07-29,100.22865944949876
2021-07-30,102.15722559834437
2021-08-02,101.59775430392895
2021-08-03,102.89559999006886
2021-08-04,103.3422829684878
2021-08-05,105.12303534529268
2021-08-06,105.7222428911784
2021-08-09,106.43671097193608
2021-08-10,107.00901887403333
2021-08-11,105.79709984190819
2021-08-12,105.71208147498494
2021-08-13,106.43472249865285
2021-08-16,105.67031659870125
2021-08-17,107.0766992371143
2021-08-18,106.35062546619048
2021-08-19,105.7880305072588
2021-08-20,105.6207073061651
2021-08-23,106.19586900077474
2021-08-24,106.71969844470604
2021-08-25,107.4794162451856
2021-08-26,107.09164484389011
2021-08-27,107.36797452125899
2021-08-30,105.29653266245089
2021-08-31,103.89075145192221
2021-09-01,103.80959351367456
2021-09-02,101.94581140081137
2021-09-03,104.0238799505205
2021-09-06,104.18357249985985
2021-09-07,103.56742281994107
2021-09-08,104.88729791130929
2021-09-09,104.57661100125351
2021-09-10,104.08665975693367
2021-09-13,104.03130251965882
2021-09-14,103.33845245429376
2021-09-15,103.54325965394726
2021-09-16,105.22335729010344
2021-09-17,104.33547531014004
2021-09-20,105.2331854015921
2021-09-21,103.85953616808263
2021-09-22,102.82365498233929
2021-09-23,101.40452481881084
2021-09-24,101.80009114804585
2021-09-27,102.8651215876043
2021-09-28,101.67928858496735
2021-09-29,102.23694139310409
2021-09-30,102.97713466605774
2021-10-01,103.99338450626603
2021-10-04,101.95499350992834
2021-10-05,102.08126473708478
2021-10-06,103.5933735786694
2021-10-07,103.10507653850169
2021-10-08,102.32385246392658
2021-10-11,101.74102109670329
2021-10-12,102.80055105035181
2021-10-13,103.14137167726321
2021-10-14,102.08233386890831
2021-10-15,103.46046907266818
2021-10-18,104.46808087635453
2021-10-19,106.99398610122775
2021-10-20,109.24039335486377
2021-10-21,108.15993383671538
2021-10-22,107.60109542272744
2021-10-25,106.88668341409667
2021-10-26,105.70565502745772
2021-10-27,105.52312605174548
2021-10-28,103.36264968617866
2021-10-29,104.38209655986186
2021-11-01,105.0753745244328
2021-11-02,104.48681291256992
2021-11-03,103.29592011518356
2021-11-04,103.8522157226617
2021-11-05,103.876012177473
2021-11-08,103.52810848067435
2021-11-09,103.06564087762227
2021-11-10,103.42164793724126
2021-11-11,103.29481125640018
2021-11-12,104.0874607734406
2021-11-15,104.10353037827547
2021-11-16,104.50686902328658
2021-11-17,104.28256777573456
2021-11-18,103.98974079795622
2021-11-19,103.85910947651907
2021-11-22,102.43778348238754
2021-11-23,102.01224718957906
2021-11-24,100.68160790860956
2021-11-25,100.2582077236021
2021-11-26,99.5109732710304
2021-11-29,98.45895302782915
2021-11-30,99.1131870635663
2021-12-01,98.5158990001242
2021-12-02,97.67046409287039
2021-12-03,98.41247789052107
2021-12-06,98.54052616231715
2021-12-07,97.9005014906542
2021-12-08,97.31183107718499
2021-12-09,98.67563733295984
2021-12-10,98.70167841209475
2021-12-13,98.33539969450146
2021-12-14,100.0900200782888
2021-12-15,99.78247543125272
2021-12-16,100.50997998403611
2021-12-17,100.88798195583901
2021-12-20,101.98282172873994
2021-12-21,102.20244490754797
2021-12-22,101.64043352009249
2021-12-23,102.3988626659899
2021-12-24,102.37942881880716
2021-12-27,101.93319959777492
2021-12-28,102.90370812062439
2021-12-29,103.54739164541287
2021-12-30,104.07927253446094
2021-12-31,104.40813159881097
2022-01-03,103.99836853839778
2022-01-04,103.9145883075707
2022-01-05,103.69256926064445
2022-01-06,102.34536101406202
2022-01-07,103.84681951486985
2022-01-10,104.19075580232204
2022-01-11,104.34909889517236
2022-01-12,104.09603341333306
2022-01-13,104.63201741940857
2022-01-14,104.94841265264515
2022-01-17,106.36857758756486
2022-01-18,107.65510133824314
2022-01-19,107.4453102104029
2022-01-20,108.71843171584226
2022-01-21,109.71146367576523
2022-01-24,110.45789747102623
2022-01-25,109.12191135940115
2022-01-26,110.0517034939011
2022-01-27,109.99724144729612
2022-01-28,110.4885411501083
2022-01-31,110.07950552247547
2022-02-01,108.09020506314783
2022-02-02,108.11752105386103
2022-02-03,110.44816187174862
2022-02-04,111.34695763429583
2022-02-07,111.19483595978848
2022-02-08,110.04273786027935
2022-02-09,111.44535671787308
2022-02-10,108.99644420163186
2022-02-11,107.75381486196198
2022-02-14,108.04543924561519
2022-02-15,110.84631462545786
2022-02-16,110.71632798598037
2022-02-17,111.06174374865736
2022-02-18,111.96321896340362
2022-02-21,113.2109798394061
2022-02-22,113.23532639511326
2022-02-23,111.94527991405837
2022-02-24,111.19188548305996
2022-02-25,111.72075086983631
2022-02-28,111.2159867073188
2022-03-01,111.48561397109793
2022-03-02,111.80445392960452
2022-03-03,111.93801041049602
2022-03-04,112.70904396311141
2022-03-07,112.52639129467259
2022-03-08,113.87998184249835
2022-03-09,114.29416841605145
2022-03-10,114.08487627048154
2022-03-11,114.48920268995994
2022-03-14,112.73662237611815
2022-03-15,113.84616005637925
2022-03-16,114.27934122060708
2022-03-17,111.78870990053528
2022-03-18,111.18699485482688
2022-03-21,112.25024217931059
2022-03-22,113.07461771371221
2022-03-23,114.41981790882284
2022-03-24,113.20554255997521
2022-03-25,113.51383707325896
2022-03-28,114.47196336000704
2022-03-29,115.60770559148335
2022-03-30,114.65378005145934
2022-03-31,114.25068917778496
2022-04-01,114.36865367394789
2022-04-04,115.67697978631244
2022-04-05,117.35640884243534
2022-04-06,119.07729415420918
2022-04-07,119.0020217626427
2022-04-08,117.58840463824005
2022-04-11,116.6852256951304
2022-04-12,117.17813576959915
2022-04-13,116.66608721275553
2022-04-14,115.7240686863549
2022-04-15,117.42173049738372
2022-04-18,116.69406403405216
2022-04-19,116.93448880751343
2022-04-20,118.62477558037673
2022-04-21,116.94815716377826
2022-04-22,117.19067011660556
2022-04-25,116.02420936251451
2022-04-26,117.79642647030613
2022-04-27,117.83172862130577
2022-04-28,116.46206676007087
2022-04-29,117.45052302837344
2022-05-02,116.85703568788368
2022-05-03,114.6093269903548
2022-05-04,112.30299996048562
2022-05-05,112.77539489423083
2022-05-06,112.48705460283368
2022-05-09,112.99723338268424
2022-05-10,114.22390846025007
2022-05-11,114.59750402775013
2022-05-12,115.04345598004448
2022-05-13,116.15386031474667
2022-05-16,117.77916615145018
2022-05-17,119.25445433797765
2022-05-18,119.34252177474175
2022-05-19,119.80473119302167
2022-05-20,118.81499235992554
2022-05-23,117.87623530058748
2022-05-24,118.22856849713352
2022-05-25,117.62229617411965
2022-05-26,117.75067740658676
2022-05-27,118.0732408758168
2022-05-30,118.98113630363123
2022-05-31,120.97965476317619
2022-06-01,121.3236603310687
2022-06-02,122.84916470597238
2022-06-03,124.6047017393046
2022-06-06,125.75991439791858
2022-06-07,127.14708213602162
2022-06-08,127.87935991985168
2022-06-09,128.31077777108075
2022-06-10,128.45054363910666
2022-06-13,128.60818955575067
2022-06-14,129.14541635258857
2022-06-15,129.24044956680603
2022-06-16,128.58778769865125
2022-06-17,128.92110444000522
2022-06-20,129.005293736407
2022-06-21,130.40749428326845
2022-06-22,131.77151820932363
2022-06-23,131.73693885283603
2022-06-24,132.44615690322743
2022-06-27,133.90484514687998
2022-06-28,134.53860128028688
2022-06-29,132.7593804155812
2022-06-30,133.49218294160602
2022-07-01,133.79171743283666
2022-07-04,134.40916681721492
2022-07-05,133.96817284438617
