,IWD
2021-06-22,101.49421520262516
2021-06-23,103.24795251407694
2021-06-24,101.98047135577453
2021-06-25,101.8514104906353
2021-06-28,100.94362478481851
2021-06-29,99.37268317484603
2021-06-30,99.87661333029932
2021-07-01,97.96454517172236
2021-07-02,97.42493356067172
2021-07-05,98.42478099811711
2021-07-06,99.81919997335208
2021-07-07,99.95160171050289
2021-07-08,100.71859414029734
2021-07-09,100.15801899467385
2021-07-12,100.94635812535981
2021-07-13,101.79998113884241
2021-07-14,102.47933068846623
2021-07-15,102.01918189635799
2021-07-16,102.28775842232325
2021-07-19,102.73666074905552
2021-07-20,102.16296593160452
2021-07-21,102.83679981572458
2021-07-22,104.21609369384086
2021-07-23,102.93035305125969
2021-07-26,104.28455139153463
2021-07-27,105.68603814951534
2021-07-28,106.98511061585386
2021-07-29,108.54237870354464
2021-07-30,109.5701967582376
2021-08-02,108.53686408789616
2021-08-03,109.89555073575367
2021-08-04,112.99266977171372
2021-08-05,112.42359977845953
2021-08-06,112.13589899476688
2021-08-09,114.61556010450937
2021-08-10,114.04193065490756
2021-08-11,114.49338387638393
2021-08-12,114.16988657403789
2021-08-13,114.23207000176549
2021-08-16,116.82477716696631
2021-08-17,118.04449924300155
2021-08-18,120.64053012433588
2021-08-19,120.51796403992145
2021-08-20,119.59476399283098
2021-08-23,121.87205850349618
2021-08-24,121.9917569094215
2021-08-25,123.46991403416577
2021-08-26,124.80096203936519
2021-08-27,124.75147169673117
2021-08-30,125.33697475258472
2021-08-31,126.04884477502749
2021-09-01,125.00114242691494
2021-09-02,126.19435911367363
2021-09-03,128.9535235231494
2021-09-06,126.27711425741649
2021-09-07,126.87937207597233
2021-09-08,127.68306698966146
2021-09-09,129.47570475271863
2021-09-10,129.9108441656784
2021-09-13,130.45908847812885
2021-09-14,131.43966067606604
2021-09-15,128.04229478179107
2021-09-16,126.63787569184666
2021-09-17,125.6161800504075
2021-09-20,124.40922120751398
2021-09-21,126.00095078469349
2021-09-22,125.21651616473466
2021-09-23,125.57885712368902
2021-09-24,127.16476965619728
2021-09-27,126.88161996785496
2021-09-28,126.80450392354238
2021-09-29,127.2434731189293
2021-09-30,127.62639001998166
2021-10-01,129.47388398208446
2021-10-04,127.9818098145391
2021-10-05,127.06996046242625
2021-10-06,128.4176924087821
2021-10-07,128.1971093722606
2021-10-08,127.46244206702914
2021-10-11,125.31414717538682
2021-10-12,127.9737804220757
2021-10-13,129.08548691965177
2021-10-14,127.45763430648076
2021-10-15,128.2187065076915
2021-10-18,128.18303051921512
2021-10-19,127.25858878342922
2021-10-20,127.0131389526062
2021-10-21,127.2330501228649
2021-10-22,127.2048362670336
2021-10-25,126.77958812922529
2021-10-26,124.71298963348205
2021-10-27,125.42598251882654
2021-10-28,126.90727825671237
2021-10-29,123.8047616437292
2021-11-01,121.20778929723099
2021-11-02,120.39023613329765
2021-11-03,120.77298267044053
2021-11-04,121.53433906754924
2021-11-05,122.82357379654694
2021-11-08,124.33062179810837
2021-11-09,121.71993627288198
2021-11-10,122.62161056082928
2021-11-11,122.00616903011718
2021-11-12,123.05927196696646
2021-11-15,121.71993052348131
2021-11-16,120.3937472714462
2021-11-17,120.75605175760886
2021-11-18,120.25895500684207
2021-11-19,120.38731765389402
2021-11-22,120.9994542428318
2021-11-23,122.92921292930905
2021-11-24,124.66589243371385
2021-11-25,125.20191335005819
2021-11-26,124.91310922932908
2021-11-29,124.4691257303976
2021-11-30,123.49801102496527
2021-12-01,123.52059574372059
2021-12-02,123.77677908180551
2021-12-03,123.62931535569808
2021-12-06,122.01010735050728
2021-12-07,123.3319635759427
2021-12-08,125.51287367147728
2021-12-09,124.87877220050746
2021-12-10,124.10974871360638
2021-12-13,124.76090348879703
2021-12-14,126.17579618232193
2021-12-15,125.05143357014548
2021-12-16,126.63306120124243
2021-12-17,125.75675552534395
2021-12-20,124.8034116666699
2021-12-21,125.2875921197811
2021-12-22,125.6295304284777
2021-12-23,123.78144041919161
2021-12-24,125.75782094262013
2021-12-27,126.6890533777363
2021-12-28,126.58421901339618
2021-12-29,125.33271369461633
2021-12-30,126.2791663055528
2021-12-31,126.04948196371821
2022-01-03,125.86636495832228
2022-01-04,125.65227245238992
2022-01-05,125.39026321176596
2022-01-06,124.31485275052808
2022-01-07,125.81247980253438
2022-01-10,127.35567836991699
2022-01-11,126.67058460279179
2022-01-12,129.7394164248541
2022-01-13,130.1640320917444
2022-01-14,130.77933504712348
2022-01-17,131.19486093813626
2022-01-18,132.51774091142184
2022-01-19,131.48238375388198
2022-01-20,130.23756495521494
2022-01-21,130.218634117043
2022-01-24,130.00757433363069
2022-01-25,128.25354476537697
2022-01-26,128.26119510111877
2022-01-27,127.69929380503551
2022-01-28,127.87141285261588
2022-01-31,127.90003932715233
2022-02-01,130.75631659176517
2022-02-02,131.4726204687951
2022-02-03,132.6249058878499
2022-02-04,134.18118365158992
2022-02-07,131.80105137344665
2022-02-08,132.9559260322785
2022-02-09,133.065236639137
2022-02-10,135.8453108874422
2022-02-11,136.1120907566408
2022-02-14,135.2324136004832
2022-02-15,135.30118058134136
2022-02-16,134.32980141769934
2022-02-17,133.1879187437342
2022-02-18,130.5614232987946
2022-02-21,128.91755074282904
2022-02-22,127.95430381168951
2022-02-23,128.5043529808726
2022-02-24,128.682738474151
2022-02-25,125.83379976926142
2022-02-28,122.89441508585793
2022-03-01,124.25061667013293
2022-03-02,123.04553377690088
2022-03-03,124.00248387766133
2022-03-04,122.98784857730891
2022-03-07,120.54987840947919
2022-03-08,118.40335828475553
2022-03-09,120.50592638783502
2022-03-10,119.22113186180579
2022-03-11,117.27388120506683
2022-03-14,116.69504850006807
2022-03-15,116.56447396939515
2022-03-16,116.61902940801983
2022-03-17,115.28285432546843
2022-03-18,116.10311408806817
2022-03-21,116.07644129030498
2022-03-22,115.33980306596506
2022-03-23,116.0907605696382
2022-03-24,115.91257956985193
2022-03-25,115.59456808025384
2022-03-28,117.49614120283911
2022-03-29,118.1189068248311
2022-03-30,118.22592193528554
2022-03-31,118.56638354881079
2022-04-01,119.07590188644963
2022-04-04,119.44784645996857
2022-04-05,117.31946533025308
2022-04-06,118.9413579680615
2022-04-07,119.32777539516614
2022-04-08,117.35567857940777
2022-04-11,117.33923207784467
2022-04-12,118.23231353274346
2022-04-13,117.08856637488987
2022-04-14,117.90994658718421
2022-04-15,115.98745285725388
2022-04-18,115.10623541989145
2022-04-19,115.79180120490233
2022-04-20,114.90706705526996
2022-04-21,116.65119568942961
2022-04-22,114.89928134673859
2022-04-25,115.26009530503751
2022-04-26,114.7085784111477
2022-04-27,112.88335823425959
2022-04-28,112.95543578838611
2022-04-29,113.88229079984113
2022-05-02,113.75406656049363
2022-05-03,114.11424602636578
2022-05-04,114.28748836357587
2022-05-05,113.33128566739481
2022-05-06,114.53106302600618
2022-05-09,113.54973433079279
2022-05-10,113.33567610310658
2022-05-11,114.45530826013892
2022-05-12,114.85340859822841
2022-05-13,114.3836786854379
2022-05-16,115.49699069611867
2022-05-17,115.61483363172931
2022-05-18,116.2733477750074
2022-05-19,115.80582117130433
2022-05-20,116.18495343138522
2022-05-23,115.03863804015464
2022-05-24,115.29495394869156
2022-05-25,118.90239811536088
2022-05-26,119.35673861799462
2022-05-27,118.8918883359416
2022-05-30,118.95435868275447
2022-05-31,116.75005406875232
2022-06-01,118.12203265682145
2022-06-02,115.69571939290475
2022-06-03,115.539157117052
2022-06-06,114.02270130884426
2022-06-07,114.57591580199953
2022-06-08,116.72728627873656
2022-06-09,114.95791820482447
2022-06-10,114.68333944109474
2022-06-13,115.17398270043095
2022-06-14,114.00614287941437
2022-06-15,115.89465613136807
2022-06-16,114.84352813821603
2022-06-17,114.19751931334643
2022-06-20,115.41465680767224
2022-06-21,116.43958040793518
2022-06-22,117.02579656805743
2022-06-23,116.7657240418207
2022-06-24,117.65672800318694
2022-06-27,117.4128510958823
2022-06-28,117.02069048676297
2022-06-29,115.41887415425423
2022-06-30,116.97343467928147
2022-07-01,117.59877121479703
2022-07-04,118.76469079368594
