,IWR
2021-06-22,101.97250717464144
2021-06-23,99.87360122634945
2021-06-24,98.70472717833921
2021-06-25,100.12547090583432
2021-06-28,100.12703288000412
2021-06-29,100.97718373269056
2021-06-30,100.68087459895689
2021-07-01,98.75064090392945
2021-07-02,99.07969209691913
2021-07-05,99.14586606354644
2021-07-06,98.81403648745416
2021-07-07,99.58908449719455
2021-07-08,99.76459044351567
2021-07-09,99.69900602764555
2021-07-12,101.37824666871525
2021-07-13,102.33548854663582
2021-07-14,102.75423940526154
2021-07-15,101.4302529677858
2021-07-16,101.71266522150609
2021-07-19,103.13523992877364
2021-07-20,105.26166594253601
2021-07-21,103.92109648401522
2021-07-22,104.01595402117916
2021-07-23,104.40490538699952
2021-07-26,103.6297415830576
2021-07-27,103.76021429258806
2021-07-28,105.61883536491581
2021-07-29,105.80748067207068
2021-07-30,105.53672386471109
2021-08-02,104.24401049014114
2021-08-03,106.13508398083569
2021-08-04,103.53324697079509
2021-08-05,104.36420689916126
2021-08-06,105.64745442063487
2021-08-09,105.90855814175777
2021-08-10,107.67394507170056
2021-08-11,107.26057608491686
2021-08-12,108.2518775058826
2021-08-13,106.25238509138708
2021-08-16,107.80914083568034
2021-08-17,108.7445994151125
2021-08-18,110.70610402870689
2021-08-19,110.65093017600806
2021-08-20,109.37422004951397
2021-08-23,109.87756469190182
2021-08-24,110.2022619794241
2021-08-25,109.75065139527737
2021-08-26,110.43729731143056
2021-08-27,110.701039976766
2021-08-30,110.01014296670735
2021-08-31,110.5653102294705
2021-09-01,110.44234982735391
2021-09-02,110.47016414874373
2021-09-03,108.83200779452453
2021-09-06,108.54193474626308
2021-09-07,109.1562949765574
2021-09-08,107.79779602418805
2021-09-09,105.65032592294195
2021-09-10,104.38679886611322
2021-09-13,103.2665679741423
2021-09-14,104.94191324083535
2021-09-15,105.60561802728232
2021-09-16,104.3859802026865
2021-09-17,104.96906358723703
2021-09-20,104.21086323364028
2021-09-21,105.88420382634669
2021-09-22,106.11502729357937
2021-09-23,105.55949454171144
2021-09-24,104.64937698266759
2021-09-27,103.63142867056534
2021-09-28,104.53681570989575
2021-09-29,103.66266663613169
2021-09-30,102.39278013035609
2021-10-01,102.88820217713257
2021-10-04,103.13585933587912
2021-10-05,102.06952539804028
