,MBB
2021-06-22,99.89478624292742
2021-06-23,99.64258819857511
2021-06-24,100.3073197876559
2021-06-25,100.04418303354021
2021-06-28,100.42242953640736
2021-06-29,100.08583464922654
2021-06-30,100.06927898222315
2021-07-01,100.07511050255194
2021-07-02,100.11231112838705
2021-07-05,99.94981085690054
2021-07-06,100.12990287922538
2021-07-07,100.57795144338739
2021-07-08,100.90385588090732
2021-07-09,100.51687114215764
2021-07-12,100.79761005423858
2021-07-13,100.59939628418797
2021-07-14,100.9067120724026
2021-07-15,101.23795857029319
2021-07-16,101.02514092390504
2021-07-19,101.09080150859755
2021-07-20,101.02758344816272
2021-07-21,101.258999222704
2021-07-22,100.95494436909185
2021-07-23,101.13727888532054
2021-07-26,101.59906816086686
2021-07-27,101.66198169854283
2021-07-28,101.82536550692396
2021-07-29,101.4075008436581
2021-07-30,101.29401907960367
2021-08-02,100.75167659776976
2021-08-03,101.00047351066578
2021-08-04,100.83912468555565
2021-08-05,100.85538087892036
2021-08-06,100.97982422705553
2021-08-09,101.07382374204987
2021-08-10,100.9934407977943
2021-08-11,101.04683983965732
2021-08-12,101.30290794459154
2021-08-13,101.43281586172077
2021-08-16,101.71070537044847
2021-08-17,101.8018558003643
2021-08-18,101.64612755011868
2021-08-19,101.69344123299682
2021-08-20,101.90118006161246
2021-08-23,101.74176964106998
2021-08-24,101.51834061340077
2021-08-25,101.4111379577525
2021-08-26,101.38839691853975
2021-08-27,100.76097143358595
2021-08-30,101.14614484282134
2021-08-31,100.8423411533335
2021-09-01,101.31296893805559
2021-09-02,101.20057322197479
2021-09-03,101.1648418227243
2021-09-06,101.5722533040377
2021-09-07,101.93768471727584
2021-09-08,102.25780870948876
2021-09-09,102.51113819011238
2021-09-10,102.77283463185572
2021-09-13,102.80130653325345
2021-09-14,102.40414339630757
2021-09-15,103.16414357357844
2021-09-16,103.2625104962034
2021-09-17,103.24253559781889
2021-09-20,103.31677400460694
2021-09-21,103.43333905331859
2021-09-22,103.61735758510055
2021-09-23,103.73223663397131
2021-09-24,103.87281182462915
2021-09-27,103.81465138126134
2021-09-28,103.3251394121236
2021-09-29,103.42539886341437
2021-09-30,103.42230452804675
2021-10-01,103.46383616174268
2021-10-04,103.19869537579436
2021-10-05,102.90079232994465
2021-10-06,102.96830997674678
2021-10-07,102.93834869095599
2021-10-08,102.52650414312254
2021-10-11,102.2665360279552
2021-10-12,102.88300713063995
2021-10-13,103.41849654702276
2021-10-14,103.75275880385924
2021-10-15,103.74793646558855
2021-10-18,104.10686475127346
2021-10-19,103.91851967926556
2021-10-20,103.70272404073926
2021-10-21,103.76870919332268
2021-10-22,103.81000940446663
2021-10-25,104.06354035677572
2021-10-26,104.3337801685263
2021-10-27,104.51379090767988
2021-10-28,104.78244053281531
2021-10-29,104.6266999953193
2021-11-01,104.42644817370939
2021-11-02,104.56817425106138
2021-11-03,104.90253937099254
2021-11-04,104.97766524968712
2021-11-05,104.95956719761834
2021-11-08,105.30792216827267
2021-11-09,104.77540286591287
2021-11-10,104.94153939907716
2021-11-11,105.31975970370895
2021-11-12,105.29824388257009
2021-11-15,105.48876310015129
2021-11-16,105.42751580833256
2021-11-17,105.39904935968671
2021-11-18,104.9166203142987
2021-11-19,105.10192592021362
2021-11-22,105.03039149636544
2021-11-23,105.06210251862613
2021-11-24,104.83900284364864
2021-11-25,105.56638115443417
2021-11-26,105.41913076184954
2021-11-29,105.49440822233329
2021-11-30,105.47124720016028
2021-12-01,105.31322528467567
2021-12-02,105.19039708034445
2021-12-03,104.66483239268594
2021-12-06,104.80344195975282
2021-12-07,104.65214596227406
2021-12-08,104.8737763900649
2021-12-09,104.82833692052847
2021-12-10,104.90670440104925
2021-12-13,105.05996320142054
2021-12-14,105.15694895057896
2021-12-15,104.59356461357478
2021-12-16,104.26973156134567
2021-12-17,104.65634270820037
2021-12-20,104.05499808562702
2021-12-21,104.29112366598079
2021-12-22,104.32430766560958
2021-12-23,104.64585963644888
2021-12-24,104.77299014220824
2021-12-27,104.94493994270651
2021-12-28,104.34072673603434
2021-12-29,104.54548586198085
2021-12-30,104.60154013134549
2021-12-31,104.4390327072131
2022-01-03,104.39787515860397
2022-01-04,104.37953217428202
2022-01-05,103.77059781810453
2022-01-06,103.7813873412173
2022-01-07,103.41766360894489
2022-01-10,103.13157019321343
2022-01-11,102.83970326986436
2022-01-12,102.89428280094319
2022-01-13,103.28273296590842
2022-01-14,103.50101705092361
2022-01-17,104.02665083729912
2022-01-18,103.80737963302988
2022-01-19,103.48600705556039
2022-01-20,103.75612422391715
2022-01-21,103.72354173472034
2022-01-24,103.70372697432674
2022-01-25,104.02264349449932
2022-01-26,103.78406705719219
2022-01-27,104.00819893395266
2022-01-28,103.92605783301111
2022-01-31,104.39961213755717
2022-02-01,104.11686392598543
2022-02-02,104.47030912519146
2022-02-03,104.11131038190375
2022-02-04,104.18519377577246
2022-02-07,104.13537997748487
2022-02-08,103.88783423951504
2022-02-09,103.56594559150479
2022-02-10,103.67441050871673
2022-02-11,103.60404202399513
2022-02-14,103.39518836578785
2022-02-15,103.54272405527014
2022-02-16,103.25834133678767
2022-02-17,103.17831806270866
2022-02-18,103.13924569906384
2022-02-21,102.9772737782046
2022-02-22,102.93269677845271
2022-02-23,102.9250909463119
2022-02-24,102.49333373125341
2022-02-25,102.45952446025865
2022-02-28,102.93641028731403
2022-03-01,102.95176062383666
2022-03-02,102.94200734628983
2022-03-03,102.94846144155841
2022-03-04,103.3302284834461
2022-03-07,103.27160032120123
2022-03-08,103.20126679949482
2022-03-09,103.39961756725722
2022-03-10,103.35550243136986
2022-03-11,103.69783195019025
2022-03-14,103.8375020773587
2022-03-15,103.82994357989779
2022-03-16,103.99126606131989
2022-03-17,104.14101345230806
2022-03-18,104.31077627486522
2022-03-21,104.45129332363123
2022-03-22,104.69105652656374
2022-03-23,104.63995000156262
2022-03-24,104.92604971484123
2022-03-25,104.75466767061185
2022-03-28,105.05857069087669
2022-03-29,105.28671240172751
2022-03-30,105.17687471381475
2022-03-31,104.71651447564341
2022-04-01,104.9669309619029
