,RSP
2021-06-22,100.93577785363539
2021-06-23,101.66877099910474
2021-06-24,101.39101391805777
2021-06-25,101.43817584651399
2021-06-28,101.68792263017126
2021-06-29,100.81785126790538
2021-06-30,100.2695443070856
2021-07-01,100.48547867773625
2021-07-02,101.16055401036488
2021-07-05,100.56160232313447
2021-07-06,101.17298459533895
2021-07-07,101.59330184223955
2021-07-08,101.67775788691577
2021-07-09,101.5084294163489
2021-07-12,102.813449873689
2021-07-13,104.02446379107427
2021-07-14,103.25098724432289
2021-07-15,104.15496857548428
2021-07-16,104.39164836650119
2021-07-19,106.21757039531248
2021-07-20,106.9353566280339
2021-07-21,106.54098390363687
2021-07-22,108.69438518346914
2021-07-23,108.14438984300585
2021-07-26,107.76997939801703
2021-07-27,105.91261679972081
2021-07-28,105.28451074324745
2021-07-29,105.05006307261672
2021-07-30,105.26678962750285
2021-08-02,106.17802578110039
2021-08-03,105.99445461794073
2021-08-04,107.4216599521889
2021-08-05,106.71648307783718
2021-08-06,107.15030234646822
2021-08-09,108.16074289593531
2021-08-10,107.6054363625468
2021-08-11,107.76403010691399
2021-08-12,108.20285745103939
2021-08-13,109.11924315901231
2021-08-16,108.13424018687566
2021-08-17,109.66667153343714
2021-08-18,107.25874946930738
2021-08-19,109.87628376490335
2021-08-20,110.44165085817261
2021-08-23,110.6913733054282
2021-08-24,110.50845678405014
2021-08-25,108.3042106532105
2021-08-26,107.0209942813394
2021-08-27,106.87528832220052
2021-08-30,107.91061192490264
2021-08-31,107.88020957432356
2021-09-01,106.55828071347464
2021-09-02,106.76520229257254
2021-09-03,106.73159535035374
2021-09-06,107.55052693889465
2021-09-07,107.90268743463449
2021-09-08,107.30798658184344
2021-09-09,108.81793659354939
2021-09-10,107.31395760863064
2021-09-13,107.14274866446833
2021-09-14,105.41070978439093
2021-09-15,106.9181569007203
2021-09-16,107.27947299889813
2021-09-17,106.79412580998877
2021-09-20,108.11330598744469
2021-09-21,107.39010079086353
2021-09-22,108.74644487870214
2021-09-23,108.83023455121462
2021-09-24,109.45576589775456
2021-09-27,110.03117795240888
2021-09-28,110.19782306765633
2021-09-29,110.81094691066812
2021-09-30,110.18583321183597
2021-10-01,110.29084850905473
2021-10-04,111.38518171030614
2021-10-05,110.14773971897513
2021-10-06,111.14488691280167
2021-10-07,114.1490986964426
2021-10-08,112.12002344950696
2021-10-11,110.79645117188565
2021-10-12,112.68084889606047
2021-10-13,114.34356145203888
2021-10-14,113.60360618568974
2021-10-15,114.16073008204417
2021-10-18,112.70401337429215
2021-10-19,113.63982260442604
2021-10-20,112.48335665493346
2021-10-21,114.50940034954193
2021-10-22,118.10285199885138
2021-10-25,116.86865248074135
2021-10-26,116.50618691227783
2021-10-27,115.31154761787987
2021-10-28,115.73447947566642
2021-10-29,113.84817326085115
2021-11-01,113.80673116160256
2021-11-02,113.4761514111017
2021-11-03,113.20293105751603
2021-11-04,114.92566421496402
2021-11-05,115.61705274891337
2021-11-08,114.79752916054886
2021-11-09,115.8902643975688
2021-11-10,115.77735582600064
2021-11-11,114.20466794423108
2021-11-12,114.7222034275555
2021-11-15,114.90708665486926
2021-11-16,115.32703267324197
2021-11-17,115.3440400489384
2021-11-18,114.04738891398627
2021-11-19,113.78328714112091
2021-11-22,116.00489511315051
2021-11-23,116.96056328373
2021-11-24,115.74016726460643
2021-11-25,115.27550222932375
2021-11-26,114.46844251188817
2021-11-29,115.98355954516404
2021-11-30,116.44561601675424
2021-12-01,118.14619101433301
2021-12-02,119.5629521357596
2021-12-03,119.81806408619964
2021-12-06,119.74244264219362
2021-12-07,119.5763453958554
2021-12-08,116.75303374929187
2021-12-09,117.72430819383297
2021-12-10,118.47137444634438
2021-12-13,117.56850799654688
2021-12-14,116.81051774929834
2021-12-15,116.286224012854
2021-12-16,117.54607142848259
2021-12-17,116.76361821174592
2021-12-20,117.30816723015354
2021-12-21,120.06565292379511
2021-12-22,118.03092022776713
2021-12-23,117.50821371450542
