,SCHH
2021-06-22,100.45826231646022
2021-06-23,98.99681537497635
2021-06-24,99.79069793747846
2021-06-25,100.10380550044063
2021-06-28,99.63426891591307
2021-06-29,98.15728558781456
2021-06-30,99.5470889521072
2021-07-01,99.38483716081933
2021-07-02,96.89311068804133
2021-07-05,96.56808646283989
2021-07-06,96.43604150511183
2021-07-07,96.17258285707292
2021-07-08,95.74792910260817
2021-07-09,94.05625347088508
2021-07-12,94.70340876081916
2021-07-13,94.63693783443236
2021-07-14,94.64684228906196
2021-07-15,95.91509953532801
2021-07-16,97.1057501310986
2021-07-19,98.12476958254727
2021-07-20,98.60772406279061
2021-07-21,97.28360309083163
2021-07-22,98.10775156307476
2021-07-23,97.15494406340358
2021-07-26,96.05447808727938
2021-07-27,98.04585744721103
2021-07-28,97.40895286806757
2021-07-29,97.95196829180747
2021-07-30,97.56696137472125
2021-08-02,97.88441439931846
2021-08-03,98.59636255570064
2021-08-04,98.71551887902176
2021-08-05,97.01789402748867
2021-08-06,98.47267112074631
2021-08-09,97.10964204353529
2021-08-10,96.72944527447102
2021-08-11,95.80269644767137
2021-08-12,94.29568662554195
2021-08-13,93.79692307681205
2021-08-16,93.02091649415492
2021-08-17,93.20486080602632
2021-08-18,94.84696567269162
2021-08-19,94.64424252733359
2021-08-20,93.42069851071759
2021-08-23,91.42698347548352
2021-08-24,90.91357111023707
2021-08-25,89.56302559829045
2021-08-26,91.33856474288558
2021-08-27,91.84652704744317
2021-08-30,94.46836324705063
2021-08-31,96.10233270986433
2021-09-01,96.32416402208867
2021-09-02,95.67146088139687
2021-09-03,95.00105874351806
2021-09-06,94.80788202676038
2021-09-07,95.5887335509306
2021-09-08,97.36712166467828
2021-09-09,99.68255775813581
2021-09-10,97.11672155587775
2021-09-13,96.79109640226153
2021-09-14,99.16935422238095
2021-09-15,99.57258263707391
2021-09-16,100.5759422614239
2021-09-17,100.49102628314013
2021-09-20,99.74877120269237
2021-09-21,99.28585887785118
2021-09-22,101.55622510452027
2021-09-23,102.3375681804835
2021-09-24,100.79335681839669
2021-09-27,103.13586961812805
2021-09-28,104.86269163740462
2021-09-29,106.47251637548752
2021-09-30,107.36326846796449
2021-10-01,107.64888765121825
2021-10-04,107.80705455440467
2021-10-05,109.54527695416326
2021-10-06,108.04581684215565
2021-10-07,106.18861592807265
2021-10-08,108.13462011005154
2021-10-11,108.37550531771593
2021-10-12,108.08496610225009
2021-10-13,109.00839787601062
2021-10-14,107.84620716888953
2021-10-15,107.35384065461453
2021-10-18,108.36161627408065
2021-10-19,109.18184021841174
2021-10-20,110.67883668457901
2021-10-21,111.67498832045544
2021-10-22,112.36696542613558
2021-10-25,113.88372072789095
2021-10-26,113.97147314689644
