,SCHX
2021-06-22,100.21653353578266
2021-06-23,99.1210875486223
2021-06-24,97.4512730153743
2021-06-25,97.62574989100995
2021-06-28,95.71696108115219
2021-06-29,95.01211803428383
2021-06-30,94.69476472944397
2021-07-01,94.59240254493585
2021-07-02,94.06640369112391
2021-07-05,93.66105383418038
2021-07-06,94.37505983679108
2021-07-07,94.51238097736866
2021-07-08,95.46856411906236
2021-07-09,96.02005309997239
2021-07-12,95.10719924550368
2021-07-13,95.64683290005586
2021-07-14,97.07790385175583
2021-07-15,96.50017217418726
2021-07-16,97.67892876217388
2021-07-19,98.01372066462385
2021-07-20,99.80817185564224
2021-07-21,99.26808488428837
2021-07-22,98.44478761228875
2021-07-23,98.87332338431649
2021-07-26,97.8815965353168
2021-07-27,97.40000650657178
2021-07-28,98.27862361196502
2021-07-29,100.84504340960403
2021-07-30,100.78554755618431
2021-08-02,101.98744836329669
2021-08-03,100.78283392320913
2021-08-04,99.93114705016485
2021-08-05,99.75437601300884
2021-08-06,97.94139456555526
2021-08-09,96.99521235535431
2021-08-10,96.0143038287849
2021-08-11,96.38019139298261
2021-08-12,97.06864425486455
2021-08-13,97.58404897882417
2021-08-16,97.8075182647439
2021-08-17,97.61669677111968
2021-08-18,98.13883853215437
2021-08-19,98.33379532660842
2021-08-20,98.21499369310561
2021-08-23,97.93797084898715
2021-08-24,97.41923311220506
2021-08-25,97.43959615741403
2021-08-26,96.1919503808714
2021-08-27,96.28806571909291
2021-08-30,95.66947244496943
2021-08-31,94.79329309562016
2021-09-01,95.39452312795859
2021-09-02,95.16801787137555
2021-09-03,95.09005808753253
2021-09-06,95.6423001444419
2021-09-07,95.23944695565423
2021-09-08,94.51846421963114
2021-09-09,94.34641856574362
2021-09-10,94.22329076317165
2021-09-13,96.21264691526653
2021-09-14,97.64760694177752
2021-09-15,98.32629764614897
2021-09-16,98.71586197678435
2021-09-17,100.11287666431754
2021-09-20,101.59110479975213
2021-09-21,102.1053770555898
2021-09-22,102.94437488052633
2021-09-23,102.48933103137875
2021-09-24,104.20558553855994
2021-09-27,104.93300977251498
2021-09-28,103.85777488733893
2021-09-29,104.80952242105892
2021-09-30,104.71603051729286
2021-10-01,104.2837425804062
2021-10-04,104.55881136493747
2021-10-05,104.08686017470589
2021-10-06,103.63862294763815
2021-10-07,102.68966491797052
2021-10-08,102.24263731415111
2021-10-11,102.33442015161181
2021-10-12,103.2010504226547
2021-10-13,102.97512930077141
2021-10-14,103.96721478091906
2021-10-15,103.70374163669007
2021-10-18,104.24029013436198
2021-10-19,103.64079587592722
2021-10-20,101.78193677731923
2021-10-21,101.36658677220143
2021-10-22,101.91842385696974
2021-10-25,103.20949522282974
2021-10-26,103.40743871023908
2021-10-27,102.44428034006864
2021-10-28,102.7616708462906
2021-10-29,102.19799359904103
2021-11-01,103.48755658119093
2021-11-02,103.10914166673048
2021-11-03,104.37439388708579
2021-11-04,105.54105537723875
2021-11-05,106.1983784485127
2021-11-08,106.5185687581867
2021-11-09,106.90606883287856
2021-11-10,106.32201081767161
2021-11-11,106.26600413688152
2021-11-12,105.19453457875252
2021-11-15,104.99717587912025
2021-11-16,104.48101692865579
2021-11-17,104.06417730406068
2021-11-18,104.5531351677995
2021-11-19,105.13287920820684
2021-11-22,104.26082251327573
2021-11-23,104.38746281665496
2021-11-24,104.00420836213063
2021-11-25,104.97717292157867
2021-11-26,103.56177485011793
2021-11-29,104.6133551599697
2021-11-30,104.15106856829166
2021-12-01,104.22093811417086
2021-12-02,103.12374051268019
2021-12-03,103.03514223188309
2021-12-06,102.93724360987568
2021-12-07,103.05129612623942
2021-12-08,103.14512683616539
2021-12-09,101.7421708929512
2021-12-10,102.7186186604774
2021-12-13,101.25226474847906
2021-12-14,101.19783070073001
2021-12-15,100.65425590441204
2021-12-16,100.659154808731
2021-12-17,101.18102781030433
2021-12-20,102.38351865529476
2021-12-21,102.42869079420495
2021-12-22,103.21181082258917
