,SLV
2021-06-22,101.98204546111486
2021-06-23,100.56130688569603
2021-06-24,100.3746771224662
2021-06-25,100.04690697049215
2021-06-28,100.46350680398692
2021-06-29,99.65108173104879
2021-06-30,100.0919163593706
2021-07-01,100.54703955074116
2021-07-02,100.5973337685901
2021-07-05,99.98778987954987
2021-07-06,102.39440318178437
2021-07-07,100.5873569281403
2021-07-08,101.25749511474373
2021-07-09,99.37779570499885
2021-07-12,100.22462003035653
2021-07-13,101.30494299250859
2021-07-14,103.25422403891645
2021-07-15,102.49958404257833
2021-07-16,103.16416516147231
2021-07-19,104.0872773648809
2021-07-20,103.13580650088183
2021-07-21,103.8737952770105
2021-07-22,102.9233599322958
2021-07-23,103.79798741196986
2021-07-26,103.45489004684403
2021-07-27,102.9069048915789
2021-07-28,102.86966424625284
2021-07-29,105.8082221858452
2021-07-30,106.90834221530396
2021-08-02,106.95942805225727
2021-08-03,107.10860014457775
2021-08-04,105.5828839415282
2021-08-05,106.42900999982238
2021-08-06,106.32630449792724
2021-08-09,105.8257866551945
2021-08-10,106.61743570781343
2021-08-11,106.34592272152655
2021-08-12,105.41852654809232
2021-08-13,106.33988842500234
2021-08-16,108.80666056175923
2021-08-17,108.37052613853295
2021-08-18,107.82890833750724
2021-08-19,107.83179376233065
2021-08-20,109.38400498767453
2021-08-23,109.46490784825376
2021-08-24,109.11298344919066
2021-08-25,109.14785579956659
2021-08-26,109.17341142581691
2021-08-27,108.10142810902113
2021-08-30,108.76243598601909
2021-08-31,109.71401509487393
2021-09-01,108.57837383642912
2021-09-02,106.43100867349628
2021-09-03,106.00622560809092
2021-09-06,106.95960118683116
2021-09-07,107.34320477904016
2021-09-08,105.9654367777501
2021-09-09,106.65733459350778
2021-09-10,106.90732852233052
2021-09-13,106.76939358569011
2021-09-14,106.41480884200145
2021-09-15,105.44878065066752
2021-09-16,105.89769957697155
2021-09-17,105.50338344282852
2021-09-20,106.4411569080307
2021-09-21,106.11879819184944
2021-09-22,104.92889397859209
2021-09-23,104.52912975990654
2021-09-24,105.47528816553336
2021-09-27,106.37853531580734
2021-09-28,107.80655271109758
2021-09-29,108.78685741334031
2021-09-30,109.66584490712972
2021-10-01,110.63421049091838
2021-10-04,108.3483540809738
2021-10-05,109.58325550946641
2021-10-06,108.80223194927076
2021-10-07,109.00421134927514
2021-10-08,109.20029805988885
2021-10-11,109.51587624490442
2021-10-12,109.04548016696492
2021-10-13,111.8487365324248
2021-10-14,111.61571988889689
2021-10-15,111.38630168918272
2021-10-18,112.24661172753842
2021-10-19,113.05201004347384
2021-10-20,112.88097277145339
2021-10-21,111.20429515193952
2021-10-22,112.28189155561554
2021-10-25,112.90529564407845
2021-10-26,111.09647120458972
2021-10-27,112.84197200296249
2021-10-28,112.97976188268694
2021-10-29,112.09138076842751
2021-11-01,112.21710114368109
2021-11-02,112.103231981776
2021-11-03,110.90606929750007
2021-11-04,110.73277855130952
