,SPYV
2021-06-22,100.9683644700132
2021-06-23,102.1917102511743
2021-06-24,102.0340784007556
2021-06-25,102.8268547337913
2021-06-28,101.89135646418073
2021-06-29,102.11325651290464
2021-06-30,102.98720229716456
2021-07-01,102.71433582666991
2021-07-02,101.8142324941337
2021-07-05,100.76846471509407
2021-07-06,101.05741784911844
2021-07-07,100.4918316171852
2021-07-08,101.50605254234016
2021-07-09,102.04643304485852
2021-07-12,103.12037329702106
2021-07-13,102.16541738391686
2021-07-14,102.88702441476528
2021-07-15,103.94458421379301
2021-07-16,103.57089113370338
2021-07-19,103.67190047528605
2021-07-20,103.05553838815726
2021-07-21,102.68802176758297
2021-07-22,100.37121621879376
2021-07-23,99.81466520620911
2021-07-26,99.5201871799973
2021-07-27,100.79714870992431
2021-07-28,99.69301304948529
2021-07-29,99.64206357188255
2021-07-30,100.54830564035481
2021-08-02,100.2329493176548
2021-08-03,101.78224596267083
2021-08-04,101.93983514442604
2021-08-05,100.98503064910558
2021-08-06,101.53147271179034
2021-08-09,100.5100197069613
2021-08-10,101.63576910167413
2021-08-11,100.98111409762815
2021-08-12,101.99945404752044
2021-08-13,100.53331867454527
2021-08-16,102.53536141165043
2021-08-17,102.15910872697623
2021-08-18,103.11920348917116
2021-08-19,103.5174237369876
2021-08-20,104.07418799401431
2021-08-23,103.39130309261257
2021-08-24,102.8535131122281
2021-08-25,102.58478274497132
2021-08-26,100.86656021579384
2021-08-27,100.29081445371502
2021-08-30,99.16615414670413
2021-08-31,100.92925921766174
2021-09-01,101.15940990931512
2021-09-02,100.2227360049488
2021-09-03,97.87501198080825
2021-09-06,98.19391799000282
2021-09-07,98.00273183880552
2021-09-08,98.30827381830342
2021-09-09,98.6255241378916
2021-09-10,99.22606922208912
2021-09-13,99.64579025906673
2021-09-14,99.98905839077622
2021-09-15,101.11342663213941
2021-09-16,102.59038748100315
2021-09-17,103.78588486495471
2021-09-20,103.97420994954997
2021-09-21,105.53653068200892
2021-09-22,104.74358170063252
2021-09-23,104.71957943456498
2021-09-24,103.78389726507218
2021-09-27,102.52660999271883
2021-09-28,100.91484851075434
2021-09-29,102.99690887080331
2021-09-30,103.44908604790423
2021-10-01,103.25055369461822
2021-10-04,101.56085129935788
2021-10-05,101.62562620936795
2021-10-06,100.85352197126518
2021-10-07,101.45935455795639
2021-10-08,100.94502210788005
2021-10-11,100.4446002020487
2021-10-12,100.06274143842143
2021-10-13,102.00118809849283
2021-10-14,103.17868419008317
2021-10-15,104.33864497930053
2021-10-18,107.67311404140855
2021-10-19,107.03073216448628
2021-10-20,108.07648426036967
2021-10-21,109.20160473857803
2021-10-22,109.26742184848423
2021-10-25,108.82130780900528
2021-10-26,108.97184711296211
2021-10-27,108.44989235017381
2021-10-28,110.08570622399401
2021-10-29,110.78742934473695
2021-11-01,109.36350612016712
2021-11-02,109.91795473566796
2021-11-03,109.79726734021071
2021-11-04,109.61310613156465
2021-11-05,112.19282085885223
2021-11-08,112.9009803752743
2021-11-09,112.67064333696217
2021-11-10,113.86109941021898
2021-11-11,112.02104689584016
2021-11-12,112.7237477704937
2021-11-15,113.56875111996646
2021-11-16,114.34570871869919
2021-11-17,113.91526353207901
2021-11-18,114.58672552685907
2021-11-19,113.348495875998
2021-11-22,112.8325970702236
2021-11-23,111.55648084558348
2021-11-24,110.20705495429699
2021-11-25,108.11593200655916
2021-11-26,108.7262179233323
2021-11-29,109.1633809916702
2021-11-30,110.64564861078779
2021-12-01,110.78259655624161
2021-12-02,110.29053749738284
2021-12-03,111.40814927378646
2021-12-06,111.18458411589526
2021-12-07,110.60064655165583
2021-12-08,111.07840786763259
2021-12-09,111.20907124192614
2021-12-10,111.19768919855473
2021-12-13,112.65543854967407
2021-12-14,113.4586804479181
2021-12-15,111.55344538989571
2021-12-16,110.79151953605752
2021-12-17,112.12219920941699
2021-12-20,111.35047022190922
2021-12-21,110.66583999256807
2021-12-22,110.1379874627027
2021-12-23,109.8460534621355
2021-12-24,109.5770043704648
2021-12-27,108.25641667592211
2021-12-28,108.61286651334807
2021-12-29,107.96514764888757
2021-12-30,107.84789834473622
2021-12-31,108.20865364740825
2022-01-03,107.94173115772033
2022-01-04,107.39939009124264
2022-01-05,107.17547055514882
2022-01-06,109.17308825294761
2022-01-07,107.88805301992002
2022-01-10,107.88529564082287
2022-01-11,108.76503768582015
