,VGT
2021-06-22,100.67752247431221
2021-06-23,100.62563451026867
2021-06-24,99.72026225217053
2021-06-25,101.39182633591808
2021-06-28,102.56887600106374
2021-06-29,101.64763886741555
2021-06-30,101.75983452024866
2021-07-01,103.63776001857283
2021-07-02,101.66789256698914
2021-07-05,101.23282693113424
2021-07-06,102.44983596694999
2021-07-07,103.23651905750131
2021-07-08,104.06924208531944
2021-07-09,106.69489155341039
2021-07-12,107.34702485102214
2021-07-13,106.71922363025988
2021-07-14,107.79117074743493
2021-07-15,107.32595848588294
2021-07-16,109.4689519116101
2021-07-19,108.42084242547148
2021-07-20,104.56572773891865
2021-07-21,104.35095160625896
2021-07-22,103.45805084825317
2021-07-23,101.2896665757815
2021-07-26,101.26208989294894
2021-07-27,100.2766910601449
2021-07-28,101.08825113867854
2021-07-29,103.98666275690553
2021-07-30,104.51377850462733
2021-08-02,106.27451764619991
2021-08-03,106.38170874039041
2021-08-04,105.45459043164567
2021-08-05,103.50224009447224
2021-08-06,103.65434465440227
2021-08-09,104.7945020368324
2021-08-10,108.78644520462504
2021-08-11,108.50999256415015
2021-08-12,110.55524899235718
2021-08-13,110.53310666591847
2021-08-16,106.70523314019069
2021-08-17,108.80900423544398
2021-08-18,108.5646549069132
2021-08-19,109.14785422594326
2021-08-20,107.12241810409868
2021-08-23,106.23000683139847
2021-08-24,107.88627265459027
2021-08-25,108.96601201872711
2021-08-26,110.06805455920919
2021-08-27,108.80871326770809
2021-08-30,110.3345409310922
2021-08-31,112.04000168325408
2021-09-01,114.90270094215352
2021-09-02,112.73164019232844
2021-09-03,113.62117126567716
2021-09-06,112.52823860325599
2021-09-07,112.4344151985217
2021-09-08,111.38940864069995
2021-09-09,110.63840261042841
2021-09-10,110.20514854968064
2021-09-13,111.55400615458791
2021-09-14,109.7316575090512
2021-09-15,106.663833965648
2021-09-16,107.86746883295572
2021-09-17,108.76250092985549
2021-09-20,105.94554091279666
2021-09-21,107.23265983356754
2021-09-22,108.69151071523997
2021-09-23,108.18446191710206
2021-09-24,109.86219609471249
2021-09-27,106.47165287956624
2021-09-28,107.48292843418258
2021-09-29,108.97261275589996
2021-09-30,106.51376073609804
2021-10-01,107.38659031441615
2021-10-04,106.32374171371421
2021-10-05,107.07766851613445
2021-10-06,107.42351328789435
2021-10-07,105.74459781858248
2021-10-08,104.69484738447431
2021-10-11,104.61130178450237
2021-10-12,103.52849816855884
2021-10-13,100.51805308257138
2021-10-14,101.35067773351744
2021-10-15,100.6615032234863
2021-10-18,98.96721559376745
2021-10-19,97.04226159404553
2021-10-20,97.30315027675935
2021-10-21,97.86958306608642
2021-10-22,95.82907412011427
2021-10-25,95.48827802904036
2021-10-26,95.431826390077
2021-10-27,95.04486021801128
2021-10-28,93.00952178976114
2021-10-29,90.96449400324755
2021-11-01,89.77888328050241
2021-11-02,89.51456219946198
2021-11-03,88.17153819615348
2021-11-04,89.24942860569904
2021-11-05,88.56420610285417
2021-11-08,89.97629055241742
2021-11-09,89.26555705255494
2021-11-10,87.84355151085245
2021-11-11,86.80622616738837
2021-11-12,85.54889139180266
2021-11-15,85.16663658281402
2021-11-16,86.72136919850165
2021-11-17,89.50967239960183
2021-11-18,89.29316018346695
2021-11-19,90.28273254605661
2021-11-22,88.52519112382414
2021-11-23,86.44485387001552
2021-11-24,86.93063084620395
2021-11-25,87.76473596411793
2021-11-26,90.68276039956793
2021-11-29,91.55119003180418
2021-11-30,90.58115537909102
2021-12-01,89.42897523851502
2021-12-02,89.78079747060994
2021-12-03,90.1161781120369
2021-12-06,91.36162585943967
2021-12-07,90.00761691371092
2021-12-08,92.08129067573759
2021-12-09,91.4382660552179
2021-12-10,90.40580101270122
2021-12-13,93.07301207734466
2021-12-14,93.98888745175876
2021-12-15,95.39622231899226
2021-12-16,94.66091366577194
2021-12-17,93.59182407464614
2021-12-20,93.39036207786752
2021-12-21,93.3411249895289
2021-12-22,93.598785365995
2021-12-23,95.41322877831246
2021-12-24,97.71253175329805
2021-12-27,100.34203341609775
2021-12-28,101.44396494713422
2021-12-29,102.89271151852518
2021-12-30,103.08172488918414
2021-12-31,102.73467888117524
2022-01-03,103.07627624723929
2022-01-04,104.27552824061459
2022-01-05,102.6884731897677
2022-01-06,104.36082635240393
2022-01-07,105.42980027871903
2022-01-10,105.46441898149226
2022-01-11,106.38851661487946
2022-01-12,106.17794272464761
2022-01-13,107.05935588294034
2022-01-14,109.26248884080859
2022-01-17,108.07811391994831
2022-01-18,106.32094335216387
2022-01-19,105.84346878257473
2022-01-20,106.77249843975724
2022-01-21,108.37380748127275
2022-01-24,107.99559689894858
2022-01-25,107.39507869864202
2022-01-26,105.08416582524045
2022-01-27,105.09231540607193
2022-01-28,104.23338759982015
2022-01-31,104.70207783678656
2022-02-01,104.32117393986017
2022-02-02,105.25272533159051
2022-02-03,104.90874704108677
2022-02-04,107.45931798302881
2022-02-07,108.6152045304758
2022-02-08,109.69923483823423
2022-02-09,107.73607704210319
2022-02-10,107.3486362709497
2022-02-11,107.26212603815841
2022-02-14,109.60916198716673
2022-02-15,108.50437435361468
2022-02-16,105.72313560332877
2022-02-17,105.82341049083588
2022-02-18,105.42042781509791
2022-02-21,105.37677666326243
2022-02-22,103.76146913435365
2022-02-23,103.17812481181296
2022-02-24,102.04693171091357
2022-02-25,102.59709359018005
2022-02-28,105.09987399723202
2022-03-01,107.22055323353932
2022-03-02,104.11137383293243
2022-03-03,103.96001322679949
2022-03-04,103.7888003397641
2022-03-07,102.55369462084994
2022-03-08,105.16581522206516
2022-03-09,104.56630091221683
2022-03-10,103.41907940149117
2022-03-11,102.12396748275734
2022-03-14,99.96192430598693
2022-03-15,98.57051733916474
2022-03-16,98.37411168752375
2022-03-17,97.1951688434094
2022-03-18,96.65860243442158
2022-03-21,97.35594851023964
2022-03-22,96.2319534508591
2022-03-23,97.23171166835742
2022-03-24,98.76439598869943
2022-03-25,99.4774585509202
2022-03-28,99.2684334487307
2022-03-29,100.24145151455745
2022-03-30,100.1153616413385
2022-03-31,100.37488987854184
2022-04-01,100.32383929042632
2022-04-04,100.27136434222126
2022-04-05,99.822096904127
2022-04-06,99.8116276418228
2022-04-07,100.86730061901106
2022-04-08,100.5141602512722
2022-04-11,99.26797937479486
2022-04-12,97.24649310811421
2022-04-13,97.6620756337282
2022-04-14,98.8458370994916
2022-04-15,101.04712130758897
2022-04-18,103.04593568183233
2022-04-19,101.7204722279397
2022-04-20,101.99431956576635
2022-04-21,102.0215493442485
2022-04-22,103.97755991499528
2022-04-25,103.83300088296217
2022-04-26,103.33153111869788
2022-04-27,103.57036961243291
2022-04-28,106.4946064573163
2022-04-29,105.73290951719765
2022-05-02,108.28643517328477
2022-05-03,108.98872486867606
2022-05-04,111.35962287264074
2022-05-05,112.56317323268257
2022-05-06,111.1579663433917
2022-05-09,110.66370642489798
2022-05-10,111.90915480933927
2022-05-11,110.58710854720788
2022-05-12,108.91525091078915
2022-05-13,107.42141282496907
2022-05-16,107.1866347891418
2022-05-17,107.76956684620562
2022-05-18,106.65465286899953
2022-05-19,106.7475313697146
2022-05-20,106.30814067550023
2022-05-23,107.22032784053084
2022-05-24,107.27990931565981
2022-05-25,107.7244853534076
2022-05-26,107.99654568235037
2022-05-27,106.3464701538323
2022-05-30,104.86009220636481
2022-05-31,106.57980693411544
2022-06-01,106.96089817532821
2022-06-02,109.28487313635877
2022-06-03,110.83309492770061
2022-06-06,110.90017874420508
2022-06-07,110.21391763860981
2022-06-08,110.07529624554778
2022-06-09,108.5923530681522
2022-06-10,108.61795619030516
2022-06-13,109.53108594262252
2022-06-14,108.12932948598062
2022-06-15,110.27970688260883
2022-06-16,110.59581256303674
2022-06-17,111.76666580383161
2022-06-20,110.71154120753155
2022-06-21,110.80653938665017
2022-06-22,113.13974514853697
2022-06-23,113.68863698297918
2022-06-24,115.45095334355429
2022-06-27,116.0654457366973
2022-06-28,115.32670762953194
2022-06-29,113.91665253179004
2022-06-30,112.28630172756995
2022-07-01,112.8146463320303
2022-07-04,115.74260273815213
2022-07-05,117.16634075944687
2022-07-06,115.79393584053659
2022-07-07,113.38749674289026
2022-07-08,113.92935575414506
2022-07-11,113.54120160295554
2022-07-12,112.3435508471083
2022-07-13,111.07751324616034
2022-07-14,111.42691804044466
2022-07-15,111.09976620135522
2022-07-18,110.28339414683361
2022-07-19,110.41200487081394
2022-07-20,111.06918912813325
2022-07-21,111.11730975523697
2022-07-22,111.31430201146415
2022-07-25,110.7234160752464
2022-07-26,110.07774396089891
2022-07-27,108.86559487675409
2022-07-28,107.88096699122329
2022-07-29,109.60908405757293
2022-08-01,111.40504092956442
2022-08-02,112.04992667444114
2022-08-03,115.56675316505714
2022-08-04,115.53974365202771
2022-08-05,114.08006515801605
2022-08-08,113.60983154410671
2022-08-09,115.81999362293678
2022-08-10,115.03838106713833
2022-08-11,116.98505786375316
2022-08-12,117.43027037650222
2022-08-15,116.65425525769524
2022-08-16,115.41907390785258
2022-08-17,115.72839048408508
2022-08-18,116.29660290885526
2022-08-19,117.30036002954812
2022-08-22,118.44701475927621
2022-08-23,118.84977123579591
2022-08-24,116.51440916999351
2022-08-25,117.16653962364161
2022-08-26,117.8217106415891
2022-08-29,120.00685472213479
2022-08-30,117.88179815473059
2022-08-31,119.27253919095602
2022-09-01,122.71249906572254
2022-09-02,122.88720742679102
2022-09-05,121.33497757212099
2022-09-06,120.62683076422356
2022-09-07,121.05962529230354
2022-09-08,120.2199261162099
2022-09-09,120.84361587830801
2022-09-12,122.21795038537424
2022-09-13,119.96936314200791
2022-09-14,119.88110314948351
2022-09-15,119.24751720801106
2022-09-16,119.95519849007374
2022-09-19,122.59510471680362
2022-09-20,120.3489113231638
2022-09-21,120.63601282240602
2022-09-22,123.97293903075615
2022-09-23,126.29076302985027
2022-09-26,125.29276840565299
2022-09-27,124.72172419755081
2022-09-28,125.9908771233221
2022-09-29,126.57030698824654
2022-09-30,128.58134927450445
2022-10-03,130.25144609758485
2022-10-04,129.19074781432857
2022-10-05,128.67748031022154
2022-10-06,127.15308908173684
2022-10-07,129.49639665454202
2022-10-10,128.4620668548142
2022-10-11,129.94541925348994
2022-10-12,132.45815824649983
2022-10-13,129.2557026978054
2022-10-14,129.40374929384834
2022-10-17,128.86368424484294
2022-10-18,129.49135856310357
2022-10-19,131.47766872277535
2022-10-20,130.90918277655896
2022-10-21,127.888709151794
2022-10-24,126.97253427362993
2022-10-25,127.99962703816468
2022-10-26,126.50864474147676
2022-10-27,124.53942530969367
2022-10-28,125.00907862491127
2022-10-31,126.2142989524437
2022-11-01,128.01135737561933
2022-11-02,128.23213124343593
2022-11-03,126.72180328531735
2022-11-04,126.34547211123932
2022-11-07,124.49999438983266
2022-11-08,124.99608428556488
2022-11-09,127.06703675723634
2022-11-10,128.40618576488467
2022-11-11,130.60576240935256
2022-11-14,130.87987238007204
2022-11-15,128.46494423310358
2022-11-16,128.24102940602722
2022-11-17,127.76322186479541
2022-11-18,129.75551867814409
2022-11-21,132.18582096866461
2022-11-22,131.98346693532736
2022-11-23,130.03342674538544
2022-11-24,130.4809171523426
2022-11-25,131.42511557996386
2022-11-28,132.57044278848977
2022-11-29,132.60481026960434
2022-11-30,131.81044828589953
2022-12-01,130.36562776527947
2022-12-02,128.7348124641123
2022-12-05,128.0123771484213
2022-12-06,128.6129708811316
2022-12-07,129.51527746503905
2022-12-08,129.30576792741658
2022-12-09,129.334021606817
2022-12-12,128.48341623648614
2022-12-13,131.3746112710859
2022-12-14,135.2730622832635
2022-12-15,137.1719204933133
2022-12-16,136.19484261316592
2022-12-19,138.3542207690455
2022-12-20,136.35646185440442
2022-12-21,137.48509893013886
2022-12-22,139.67576362845944
2022-12-23,138.78931801885142
2022-12-26,139.00670343026385
2022-12-27,134.15749728942723
2022-12-28,133.48774928827441
2022-12-29,134.13702094437176
2022-12-30,130.53068361348235
2023-01-02,130.56710930897407
2023-01-03,131.09913212516994
2023-01-04,130.501732014628
2023-01-05,132.0266787673284
2023-01-06,133.43709339232709
2023-01-09,130.2213366188483
2023-01-10,129.1047129198821
2023-01-11,130.46410999514913
2023-01-12,127.18183950937947
2023-01-13,126.14942916295905
2023-01-16,127.47453289413271
2023-01-17,128.86101183118336
2023-01-18,127.42100934857841
2023-01-19,124.93341018245737
2023-01-20,122.83774067731954
2023-01-23,122.77938455572928
2023-01-24,122.23737534901538
2023-01-25,124.5912156727914
2023-01-26,122.52135582155366
2023-01-27,123.76063891367424
2023-01-30,123.35464375447253
2023-01-31,126.73484444833562
2023-02-01,126.69162682228196
2023-02-02,128.79033693127943
2023-02-03,128.2217569657338
2023-02-06,125.71983325301277
2023-02-07,124.05373667896424
2023-02-08,121.75057299777707
2023-02-09,121.48057838491997
2023-02-10,120.51018769111886
2023-02-13,117.00506310280763
2023-02-14,117.27923678075854
2023-02-15,117.25172916487135
2023-02-16,119.30550610802244
2023-02-17,117.68224370900518
2023-02-20,118.94760288926103
2023-02-21,118.98345681100464
2023-02-22,118.18822254065013
2023-02-23,116.85037245068104
2023-02-24,118.96730550675265
2023-02-27,116.99005533736415
2023-02-28,115.97953928609579
2023-03-01,115.34450127923922
2023-03-02,115.70732792332544
2023-03-03,115.38933277065892
2023-03-06,112.33249743734287
2023-03-07,112.29615608007477
2023-03-08,110.16236632387326
2023-03-09,109.35322729769035
2023-03-10,106.85890812283397
2023-03-13,108.46334717525143
2023-03-14,106.44123879979817
2023-03-15,106.12333695341138
2023-03-16,105.55486069345079
2023-03-17,104.49215093937605
2023-03-20,104.51974933658835
2023-03-21,106.7131596256617
2023-03-22,106.9916373090545
2023-03-23,106.30623159968766
2023-03-24,105.78820213859647
2023-03-27,104.92845403816293
2023-03-28,106.69407455114266
2023-03-29,108.09220083517985
2023-03-30,107.43041990099005
2023-03-31,107.63063938583383
2023-04-03,107.27247576954775
2023-04-04,107.53781009932568
2023-04-05,107.5256605394518
2023-04-06,106.98127557272481
2023-04-07,105.30130737210872
2023-04-10,104.30690072014951
2023-04-11,103.72250150863245
2023-04-12,103.03970788013008
2023-04-13,99.51338181823176
2023-04-14,100.2931062866104
2023-04-17,100.94912647035297
2023-04-18,100.87021250714632
2023-04-19,99.68570412747933
2023-04-20,99.0075825434347
2023-04-21,101.24683621712282
2023-04-24,102.1564353373825
2023-04-25,104.0682877313281
2023-04-26,104.77023329157129
2023-04-27,106.36425705286534
2023-04-28,104.92323467817353
2023-05-01,102.75699502690232
2023-05-02,104.4790005134776
2023-05-03,107.12346194260809
2023-05-04,108.0516830437287
2023-05-05,107.29713293600511
2023-05-08,108.13319180042346
2023-05-09,108.48147482329284
2023-05-10,108.44966428925964
2023-05-11,109.00808065525692
2023-05-12,109.71890286782076
2023-05-15,109.70666084712704
2023-05-16,108.76767004282004
2023-05-17,110.51749980828727
2023-05-18,110.3556916462773
2023-05-19,112.25130263689165
2023-05-22,114.7781836752938
2023-05-23,115.44328272727387
2023-05-24,117.60426077050093
2023-05-25,117.76104778677362
2023-05-26,117.73726248310304
2023-05-29,117.6912447431576
2023-05-30,116.90267246578247
2023-05-31,116.07311114965191
2023-06-01,116.70121339717392
2023-06-02,117.69734095445064
2023-06-05,118.71473494122257
2023-06-06,120.12284829321335
2023-06-07,119.02897750711179
2023-06-08,119.90907269070125
2023-06-09,118.82804633846011
2023-06-12,118.28700875367339
2023-06-13,117.19920040459706
2023-06-14,118.7615642111267
2023-06-15,119.52320609191143
2023-06-16,120.31869566632858
2023-06-19,119.97456697464483
2023-06-20,121.01873129263903
2023-06-21,118.63541962474015
2023-06-22,120.09646489307812
2023-06-23,121.32358692043994
2023-06-26,118.83104844753262
2023-06-27,120.72945977547722
2023-06-28,119.14246078088406
2023-06-29,119.23438352333464
2023-06-30,117.640498670379
2023-07-03,117.67493103823216
2023-07-04,116.3040330019177
2023-07-05,115.93176751283522
2023-07-06,116.9305057445255
2023-07-07,115.08833140653492
2023-07-10,114.61118187222874
2023-07-11,114.41265120311344
2023-07-12,115.05202552450643
2023-07-13,118.38564160181481
2023-07-14,118.54691198274216
2023-07-17,118.11753983756914
2023-07-18,120.73941180645332
2023-07-19,121.51684046042521
2023-07-20,120.90823957888917
2023-07-21,121.71396275863444
2023-07-24,119.84724370624565
2023-07-25,118.3927881916888
2023-07-26,115.80517804605385
2023-07-27,116.31847025645942
2023-07-28,116.6710381814394
2023-07-31,116.68096846163252
2023-08-01,118.01329003578249
2023-08-02,117.7424050329709
2023-08-03,119.12636836350362
2023-08-04,121.65190635953549
2023-08-07,123.86782410926725
2023-08-08,125.53467531066372
2023-08-09,128.59467017096398
2023-08-10,132.54886527981287
2023-08-11,134.32067972337404
2023-08-14,132.60234359959227
2023-08-15,129.29255697467894
2023-08-16,129.54817155551322
2023-08-17,131.96333331013957
2023-08-18,132.10330381945258
2023-08-21,129.63983966121035
2023-08-22,128.13665666960185
2023-08-23,125.76608123166004
2023-08-24,126.12153529398675
2023-08-25,127.61058632703113
2023-08-28,127.0705156699837
2023-08-29,122.62246256332523
2023-08-30,122.7323193624902
2023-08-31,124.11135973465043
2023-09-01,122.5378139623926
2023-09-04,124.317884615606
2023-09-05,123.91621435965132
2023-09-06,126.60455465192521
2023-09-07,127.10257933981977
2023-09-08,126.3074622561248
2023-09-11,126.08239617195179
2023-09-12,124.69119830720446
2023-09-13,124.74055058282273
2023-09-14,124.15935002137279
2023-09-15,123.75268265816854
2023-09-18,124.01186346485315
2023-09-19,121.84556012997973
2023-09-20,122.14393959498831
2023-09-21,122.68633604785128
2023-09-22,125.47660375633971
2023-09-25,126.94447814494174
2023-09-26,126.88552241243842
2023-09-27,125.60969680693842
2023-09-28,125.82375193113369
2023-09-29,124.18655559097165
2023-10-02,125.24599456656493
2023-10-03,122.96711761612463
2023-10-04,122.81422368479457
2023-10-05,123.69091813188169
2023-10-06,125.3009529146786
2023-10-09,128.30060804465936
2023-10-10,125.04340995294005
2023-10-11,124.38088361660213
2023-10-12,127.40542531335907
2023-10-13,125.4085893916762
2023-10-16,122.89234621678347
2023-10-17,125.32192338122555
2023-10-18,124.14123100242801
2023-10-19,125.2076839688907
2023-10-20,124.27586304592673
2023-10-23,128.06285867449498
2023-10-24,127.6524389202218
2023-10-25,125.63137153285508
2023-10-26,123.09181945281038
2023-10-27,122.49532035437842
2023-10-30,119.5912420347276
2023-10-31,121.52900702577985
2023-11-01,121.91798342356425
2023-11-02,122.41118284774019
2023-11-03,122.26440082751793
2023-11-06,121.57130547554758
2023-11-07,122.75192916282145
2023-11-08,120.86847107197285
2023-11-09,120.00351349950648
2023-11-10,122.23652729706123
2023-11-13,122.12556771892989
2023-11-14,121.88656812695329
2023-11-15,122.21071736773037
2023-11-16,120.21993103373407
2023-11-17,119.09550192129537
2023-11-20,120.3560813806436
2023-11-21,121.46867458663519
2023-11-22,120.68039469308316
2023-11-23,123.78347239805119
2023-11-24,123.52944572923018
2023-11-27,123.6919540774689
2023-11-28,123.12146105311461
2023-11-29,123.51595386020247
2023-11-30,124.23023521278715
2023-12-01,124.87291221309324
2023-12-04,125.7022671353421
2023-12-05,126.68851773535812
2023-12-06,128.40726350897853
2023-12-07,128.53180055968625
2023-12-08,131.49723841529905
2023-12-11,128.84447768384575
2023-12-12,129.0629480458189
2023-12-13,128.6068363497939
2023-12-14,129.4964885751195
2023-12-15,126.46880376892568
2023-12-18,127.96900113691396
2023-12-19,126.27832799529737
2023-12-20,127.89991263050142
2023-12-21,127.88206657909996
2023-12-22,128.49632265386933
2023-12-25,127.45318272040014
2023-12-26,126.0551884724383
2023-12-27,126.71336978549866
2023-12-28,123.80627867916807
2023-12-29,123.90193527758619
2024-01-01,121.43856918923521
2024-01-02,122.25102129008991
2024-01-03,121.03463223786967
2024-01-04,122.03869437308524
2024-01-05,124.53973080693446
2024-01-08,124.34803103674817
2024-01-09,126.29660146257416
2024-01-10,124.3742222332688
2024-01-11,123.33598176775304
2024-01-12,123.13242282154351
2024-01-15,122.03175420017276
2024-01-16,121.03598286731308
2024-01-17,125.56868306393798
2024-01-18,125.57104219742334
2024-01-19,123.44111135996634
2024-01-22,124.99518685220063
2024-01-23,126.014047652801
2024-01-24,126.51055894744594
2024-01-25,125.53059941359408
2024-01-26,124.51634086073938
2024-01-29,126.15828223346593
2024-01-30,128.57125428949843
2024-01-31,127.27835430944432
2024-02-01,127.22346749349202
2024-02-02,127.28503643862017
2024-02-05,126.25420198955982
2024-02-06,127.40959249086379
2024-02-07,130.07569113200395
2024-02-08,130.5203861605591
2024-02-09,127.75796576454506
2024-02-12,127.12549611028953
2024-02-13,128.60109413560826
2024-02-14,128.31746508441609
2024-02-15,127.27209834039009
2024-02-16,128.6899141345827
2024-02-19,130.57081636438912
2024-02-20,129.62110695831592
2024-02-21,126.70691144783517
2024-02-22,128.87578786504216
2024-02-23,127.68504538840605
2024-02-26,127.43451152265122
2024-02-27,124.60684370683042
2024-02-28,124.93889018817195
2024-02-29,124.75496375290938
2024-03-01,123.57424428752036
2024-03-04,123.2590513614352
2024-03-05,122.96930418525768
2024-03-06,123.92685670583484
2024-03-07,122.27876647506841
2024-03-08,124.4043802062657
2024-03-11,122.07354527293217
2024-03-12,122.44392664642734
2024-03-13,123.47057169990143
2024-03-14,121.7188405820842
2024-03-15,122.29607399084958
2024-03-18,123.59589699472477
2024-03-19,122.26443147519959
2024-03-20,121.98936325039973
2024-03-21,124.25518796321253
2024-03-22,127.13663412155707
2024-03-25,127.66168292754381
2024-03-26,127.00690802506965
2024-03-27,128.2453394238078
2024-03-28,127.57054791533973
2024-03-29,125.06361975482108
2024-04-01,122.81890663225674
2024-04-02,124.83525219751834
2024-04-03,126.07226103041127
2024-04-04,123.73865777694095
2024-04-05,125.13987243193394
2024-04-08,126.77619629954933
2024-04-09,126.09989075246317
2024-04-10,126.15928787144225
2024-04-11,125.41353334456595
2024-04-12,122.84193507441022
2024-04-15,123.07160834532358
2024-04-16,123.01896619639518
2024-04-17,119.52196014579204
2024-04-18,118.30937150351907
2024-04-19,119.72037684666157
2024-04-22,118.00945886189413
2024-04-23,117.21277042386808
2024-04-24,118.16233640908014
2024-04-25,118.92180069576126
2024-04-26,118.64088197055726
2024-04-29,119.50390092190572
2024-04-30,120.4306004191461
2024-05-01,121.14368688356709
2024-05-02,119.31819281324306
2024-05-03,119.55011942217806
2024-05-06,116.90398550624015
2024-05-07,116.17605139294642
2024-05-08,116.45731439948545
2024-05-09,117.80646591170232
2024-05-10,119.66592695502985
2024-05-13,119.27262936039733
2024-05-14,116.01251486370808
2024-05-15,115.78593927201628
2024-05-16,114.33593010133967
2024-05-17,113.2529261800825
2024-05-20,110.44052769730337
2024-05-21,108.71940457531765
2024-05-22,108.01088718512118
2024-05-23,109.02137495368368
2024-05-24,108.7443101954868
2024-05-27,111.0617206144791
2024-05-28,112.07495376037278
2024-05-29,112.59163045250087
2024-05-30,113.49012809381614
2024-05-31,114.0356520867986
2024-06-03,114.12886091467631
2024-06-04,113.72382254630394
2024-06-05,112.1463153744485
2024-06-06,110.70179660195801
2024-06-07,111.96954650351476
2024-06-10,111.2023569794016
2024-06-11,112.1758374384955
2024-06-12,109.42554644211458
2024-06-13,106.36650898051793
2024-06-14,106.18686962881705
2024-06-17,106.08557653345765
2024-06-18,101.32448158603825
2024-06-19,101.75259320369827
2024-06-20,101.49187992519832
2024-06-21,99.05930967279625
2024-06-24,99.07525658275135
2024-06-25,99.14046736516646
2024-06-26,100.57511327609632
2024-06-27,101.03625131344423
2024-06-28,100.72952386534229
2024-07-01,100.82901252891384
2024-07-02,98.960777299755
2024-07-03,99.44656840538507
2024-07-04,101.32056934267968
2024-07-05,98.77779914861404
2024-07-08,98.58739451559262
2024-07-09,99.51279439785003
2024-07-10,97.91150977843412
2024-07-11,98.73846788522806
2024-07-12,100.51280886713327
2024-07-15,102.0264041456524
2024-07-16,103.49666059804001
2024-07-17,104.24779006015147
2024-07-18,101.88652246745609
2024-07-19,101.51575727721611
2024-07-22,101.30673440109126
2024-07-23,101.71380463411992
2024-07-24,102.46571796065686
2024-07-25,103.07355342045629
2024-07-26,103.28742469498408
2024-07-29,104.14657548515802
2024-07-30,102.91891650321989
2024-07-31,102.67366744383781
2024-08-01,103.12520654079012
2024-08-02,100.61522483272086
2024-08-05,99.88255384682998
2024-08-06,98.44851622744034
2024-08-07,97.64248306129755
2024-08-08,98.721544777423
2024-08-09,99.24932925274716
2024-08-12,100.07408734355516
2024-08-13,100.39872727598646
2024-08-14,98.54328031622242
2024-08-15,96.78762846547016
2024-08-16,96.60176550469289
2024-08-19,96.76346859397069
2024-08-20,97.23777705706202
2024-08-21,98.91965143329958
2024-08-22,100.69449730123972
2024-08-23,100.60122246089985
2024-08-26,99.5018476832222
2024-08-27,99.67850261332481
2024-08-28,100.94741252525824
2024-08-29,102.13160918669486
2024-08-30,100.54424278474895
2024-09-02,102.60102925549688
2024-09-03,102.27682025638047
2024-09-04,100.71086161245407
2024-09-05,101.73829463424575
2024-09-06,101.49757631031181
2024-09-09,102.34685305657116
2024-09-10,102.3687669287224
2024-09-11,102.19272613465242
2024-09-12,102.70290857520462
2024-09-13,102.94856207053509
2024-09-16,102.75861613673905
2024-09-17,104.16696783068333
2024-09-18,104.6422666680381
2024-09-19,106.62717725600615
2024-09-20,104.42924429379634
2024-09-23,104.21904970156666
2024-09-24,104.04291739588297
2024-09-25,106.08461258594717
2024-09-26,102.33530045915116
2024-09-27,101.33105078534403
2024-09-30,100.03911715916169
2024-10-01,100.18671365714893
2024-10-02,99.74801495574901
2024-10-03,101.84950093456312
2024-10-04,101.25602927740314
2024-10-07,102.52725927738938
2024-10-08,103.036203167047
2024-10-09,102.90107159224378
2024-10-10,103.2960025821127
2024-10-11,103.19006500872239
2024-10-14,105.19887852111205
2024-10-15,105.14534731982815
2024-10-16,104.24566950813445
2024-10-17,101.54801747625551
2024-10-18,102.5128917798368
2024-10-21,104.91175523423821
2024-10-22,103.02987326740379
2024-10-23,103.80554862876907
2024-10-24,105.33129892364555
2024-10-25,104.34047280800087
2024-10-28,102.79840277721888
2024-10-29,102.78191180344459
2024-10-30,102.16312152913456
2024-10-31,104.34962180953022
2024-11-01,102.1695393602589
2024-11-04,102.8517565110558
2024-11-05,100.91143379123326
2024-11-06,103.25407624623368
2024-11-07,103.28324097421444
2024-11-08,103.11924638543924
2024-11-11,102.73414816263158
2024-11-12,102.25148183931438
2024-11-13,103.69884622697829
2024-11-14,102.88844768275094
2024-11-15,101.92433700781274
2024-11-18,103.07248908227795
2024-11-19,103.81249872443108
2024-11-20,103.6063726637316
2024-11-21,102.23696613934135
2024-11-22,101.16595917823756
2024-11-25,99.99416974383752
2024-11-26,99.95534064058889
2024-11-27,98.97286574637074
2024-11-28,99.83770889961163
2024-11-29,100.57312536496038
2024-12-02,97.3687957786445
2024-12-03,98.49992944628436
2024-12-04,98.58093650764187
2024-12-05,98.06292562336522
2024-12-06,99.0498353982606
2024-12-09,99.80096753692396
2024-12-10,99.67010873182751
2024-12-11,97.55292299581605
2024-12-12,96.6259206617347
2024-12-13,98.250597299207
2024-12-16,96.81701532316872
2024-12-17,97.0090771207871
2024-12-18,94.81328052863891
2024-12-19,95.07088620903525
2024-12-20,97.2864187389411
