,VIS
2021-06-22,100.4665136924519
2021-06-23,99.98346236678782
2021-06-24,98.66256027267148
2021-06-25,98.8165225407684
2021-06-28,100.83806023406352
2021-06-29,101.42076072550736
2021-06-30,99.54311124440288
2021-07-01,100.6798065997839
2021-07-02,100.90324264774968
2021-07-05,101.26789735812245
2021-07-06,102.08799236215076
2021-07-07,102.5867918916548
2021-07-08,100.80449701932321
2021-07-09,102.40606289646026
2021-07-12,102.84273264282828
2021-07-13,103.03765363090918
2021-07-14,103.44191213048495
2021-07-15,105.3638343763016
2021-07-16,103.20041472999482
2021-07-19,101.9102341551219
2021-07-20,101.08424112526988
2021-07-21,101.87888842809257
2021-07-22,102.90166652445856
2021-07-23,103.73643412714205
2021-07-26,102.960517872119
2021-07-27,105.22356686534191
2021-07-28,107.23018007723537
2021-07-29,107.38816296702949
2021-07-30,106.89300899468694
2021-08-02,107.99592602718708
2021-08-03,109.22944607664888
2021-08-04,110.50112849930844
2021-08-05,109.46443287538482
2021-08-06,109.9974392991967
2021-08-09,109.38749224415515
2021-08-10,110.51426846611277
2021-08-11,108.56357011542516
2021-08-12,106.6483195941696
2021-08-13,108.04843956357657
2021-08-16,107.75022557950085
2021-08-17,107.14687139180292
2021-08-18,107.51099192130336
2021-08-19,107.24015463290635
2021-08-20,108.21144954899793
2021-08-23,108.0414400823698
2021-08-24,108.09753449170907
2021-08-25,107.92964876520736
2021-08-26,108.04762715566005
2021-08-27,107.67084220666024
2021-08-30,106.17410950856059
2021-08-31,107.71969889887049
2021-09-01,108.69064577131398
2021-09-02,109.77841250694067
2021-09-03,109.14184051087217
2021-09-06,110.63027960667715
2021-09-07,112.1112613024134
2021-09-08,111.9892562608889
2021-09-09,111.75294791068173
2021-09-10,111.32437540403642
2021-09-13,109.43953721533586
2021-09-14,108.37529910371515
2021-09-15,107.84306233442152
2021-09-16,108.93849172549031
2021-09-17,110.08462567825326
2021-09-20,107.37018389486772
2021-09-21,108.63311586619608
2021-09-22,108.24870068257084
2021-09-23,107.93413598647896
2021-09-24,108.00514466634222
2021-09-27,107.44505514951639
2021-09-28,106.06158508747976
2021-09-29,105.3263450897026
2021-09-30,106.45646820765091
2021-10-01,106.02211321650874
2021-10-04,106.57026298776825
2021-10-05,106.26074138106026
2021-10-06,107.42594728849578
2021-10-07,108.44577938391038
2021-10-08,108.62588511306492
2021-10-11,109.75714230734906
2021-10-12,110.17202848950318
2021-10-13,112.69692484525046
2021-10-14,113.38507433380288
2021-10-15,113.90036505863938
2021-10-18,114.10328697016172
2021-10-19,113.25619331468013
2021-10-20,112.19205133712227
2021-10-21,111.61230926690202
2021-10-22,112.230526829758
2021-10-25,113.43587417568554
2021-10-26,113.95063426063649
2021-10-27,114.41689732341922
2021-10-28,115.10360658505473
2021-10-29,118.15664757550846
2021-11-01,118.1209833177711
2021-11-02,117.90435825029482
2021-11-03,118.10758273573101
2021-11-04,119.8871579756837
2021-11-05,118.27740889021223
2021-11-08,116.87751498982752
2021-11-09,116.96453427502327
2021-11-10,116.57527636496201
2021-11-11,116.1739137460349
2021-11-12,113.96801353890085
2021-11-15,113.78096760625978
2021-11-16,111.66879402223933
2021-11-17,113.19562935322145
2021-11-18,113.1068176235301
2021-11-19,111.69980221266201
2021-11-22,113.07473029193294
2021-11-23,111.97901133674182
2021-11-24,112.24746611264189
2021-11-25,114.35312354614405
2021-11-26,113.90991339819094
2021-11-29,115.46297915020243
2021-11-30,115.57675141429982
2021-12-01,114.73116211491343
2021-12-02,115.13243017147717
2021-12-03,113.8636127820094
2021-12-06,111.90223940106219
2021-12-07,111.82428368279159
2021-12-08,111.56715738965323
2021-12-09,111.98282418176397
2021-12-10,111.62674361490058
2021-12-13,109.48505057960236
2021-12-14,109.78158158344557
2021-12-15,110.54436325960451
2021-12-16,113.06583563070431
2021-12-17,114.29110100639899
2021-12-20,114.88390296564388
2021-12-21,116.97568634915247
2021-12-22,117.20051679447292
2021-12-23,119.6111022090751
2021-12-24,121.1885638518044
2021-12-27,119.11492751856396
2021-12-28,119.00879279120882
2021-12-29,116.53796176482287
2021-12-30,116.22450596022198
2021-12-31,118.34596649574769
2022-01-03,117.16795410468907
2022-01-04,116.41642786664283
2022-01-05,118.5657521616085
2022-01-06,118.45611847352396
2022-01-07,116.68757845397081
2022-01-10,117.20725227202071
2022-01-11,114.18930287386459
2022-01-12,115.0454916178611
2022-01-13,114.31177522868037
2022-01-14,114.63429495924669
2022-01-17,116.61298611552388
2022-01-18,116.66460593369932
2022-01-19,117.93827544502238
2022-01-20,119.28966027629923
2022-01-21,121.29167971412234
2022-01-24,122.37840923176957
2022-01-25,121.5007134126944
2022-01-26,120.00436019262008
2022-01-27,118.37866263202311
2022-01-28,119.3646175098545
2022-01-31,120.46764897457851
2022-02-01,119.76509780844866
2022-02-02,120.52616254777344
2022-02-03,119.43338363338287
2022-02-04,118.81935425532045
2022-02-07,120.89243888197589
2022-02-08,124.50294765980368
2022-02-09,123.51416341533874
2022-02-10,124.51447021626825
2022-02-11,124.1634052251323
2022-02-14,124.57611670778978
2022-02-15,125.35297223205374
2022-02-16,125.18004242551935
2022-02-17,125.0222970604261
2022-02-18,126.5332838278807
2022-02-21,124.6782882725787
2022-02-22,124.05242693987941
2022-02-23,126.72575173083227
2022-02-24,127.16194863750555
2022-02-25,125.75591949221818
2022-02-28,126.44474705157332
2022-03-01,126.64025782341632
2022-03-02,125.25934595361204
2022-03-03,126.04718617802556
2022-03-04,126.53839912044216
2022-03-07,125.25926374641796
2022-03-08,124.19666407605953
2022-03-09,124.02424211864007
2022-03-10,123.32504557842792
2022-03-11,124.25633780228831
2022-03-14,122.96339472309184
2022-03-15,121.48961958618025
2022-03-16,120.6840834929439
2022-03-17,118.65584600030203
2022-03-18,118.14868193846596
2022-03-21,118.4201016166514
2022-03-22,118.67930561369417
2022-03-23,117.59741522594496
2022-03-24,118.41314087662857
2022-03-25,115.78099035478311
2022-03-28,114.86805752950285
2022-03-29,116.0159111475028
2022-03-30,115.29198413890805
2022-03-31,115.69200360549148
2022-04-01,115.05968058851548
2022-04-04,114.56243013525732
2022-04-05,114.55812596740674
2022-04-06,116.51372573727168
2022-04-07,114.36414757929185
2022-04-08,111.8344668830906
2022-04-11,112.96695706847531
2022-04-12,112.74291383219872
2022-04-13,112.34370689984823
2022-04-14,113.09252304472072
2022-04-15,111.73647984308607
2022-04-18,113.17212765472564
2022-04-19,112.7391668262674
2022-04-20,115.55984583479086
2022-04-21,116.3035314207712
2022-04-22,116.46499175058796
2022-04-25,116.30884373413058
2022-04-26,114.3558881700917
2022-04-27,113.51698574546569
2022-04-28,112.80986088545284
2022-04-29,113.23298143330744
2022-05-02,112.67461442480247
2022-05-03,112.22818657724814
2022-05-04,111.00488354952063
2022-05-05,110.9096690559312
2022-05-06,110.96495656109195
2022-05-09,110.31319605980954
2022-05-10,110.477698266954
2022-05-11,111.24715956334725
2022-05-12,110.33602966073937
2022-05-13,111.6323069533439
2022-05-16,109.13870783531392
2022-05-17,109.44837888174301
2022-05-18,108.90910048247413
2022-05-19,107.92567069191654
2022-05-20,108.68371635791017
2022-05-23,106.59065020144453
2022-05-24,103.41913667916236
2022-05-25,103.61630655569573
2022-05-26,101.50045231541141
2022-05-27,101.04522172817106
2022-05-30,103.62936399671977
2022-05-31,102.39470448788157
2022-06-01,104.03715041606488
2022-06-02,102.7029657652075
2022-06-03,103.00639544262411
2022-06-06,103.15487893788742
2022-06-07,104.30851408131521
2022-06-08,104.04645745327828
2022-06-09,103.35853161552511
2022-06-10,104.78419287748851
2022-06-13,103.78608559707396
2022-06-14,104.13839680623349
2022-06-15,103.06470988794716
2022-06-16,103.51300590014911
2022-06-17,102.18104764287538
2022-06-20,102.06799743034023
2022-06-21,102.86148745595281
2022-06-22,103.62209017148713
2022-06-23,103.01587497960472
2022-06-24,103.44509198260197
2022-06-27,102.5115155353872
2022-06-28,103.23736159766057
2022-06-29,104.26206580226062
2022-06-30,105.64888069434453
2022-07-01,106.5396190395776
2022-07-04,106.74259279438958
2022-07-05,105.72335035300422
2022-07-06,104.37945036345779
2022-07-07,104.83615747369383
2022-07-08,106.37550679621697
2022-07-11,106.27891675908397
2022-07-12,105.40313037599421
2022-07-13,105.19009555193573
2022-07-14,104.8228925982678
2022-07-15,102.23832666604213
2022-07-18,103.14756378998405
2022-07-19,103.07259013880548
2022-07-20,103.17442127284713
2022-07-21,100.26531520927901
2022-07-22,99.36035615384264
2022-07-25,99.16084773936477
2022-07-26,99.01077599855172
2022-07-27,100.6023141715734
2022-07-28,100.81993473116717
2022-07-29,102.05639979682026
2022-08-01,103.03145116571848
2022-08-02,103.89235310903892
2022-08-03,104.1329519011766
2022-08-04,104.07262212070339
2022-08-05,104.94538759050126
2022-08-08,105.14146807005129
2022-08-09,104.66021945357606
2022-08-10,105.74424435324255
2022-08-11,105.02489859415232
2022-08-12,104.19368550535195
2022-08-15,102.9240679837576
2022-08-16,103.4209155174145
2022-08-17,101.75617953789238
2022-08-18,103.17690027430643
2022-08-19,105.60942828900555
2022-08-22,106.72682846318706
2022-08-23,107.24979943734132
2022-08-24,105.79036006873206
2022-08-25,106.8489345604988
2022-08-26,107.52251819753002
2022-08-29,108.45321015755908
2022-08-30,108.70328839010801
2022-08-31,108.45844402532659
2022-09-01,107.763101204385
2022-09-02,107.7637460603303
2022-09-05,107.8464925323701
2022-09-06,108.6804112325972
2022-09-07,110.63990155379469
2022-09-08,113.69451670853124
2022-09-09,115.05412445278722
2022-09-12,115.6689382495486
2022-09-13,117.12039730675924
2022-09-14,116.9217396466539
2022-09-15,116.6684984465478
2022-09-16,117.56053619351614
2022-09-19,119.12404994346693
2022-09-20,120.24049921989086
2022-09-21,120.23872486586468
2022-09-22,119.97558782489068
2022-09-23,120.36072749015467
2022-09-26,120.58489783517388
2022-09-27,123.06416647180298
2022-09-28,122.32300159814322
2022-09-29,122.38134474006894
2022-09-30,124.1385838881837
2022-10-03,124.08524365823182
2022-10-04,122.15760285983967
2022-10-05,121.89308269592001
2022-10-06,125.03259559775329
2022-10-07,126.22046246385092
2022-10-10,127.39168288399337
2022-10-11,126.7597111746289
2022-10-12,126.68636464685648
2022-10-13,127.76522518107379
2022-10-14,126.58420841565578
2022-10-17,126.46189385735222
2022-10-18,126.97903845625211
2022-10-19,124.86590810437062
2022-10-20,124.30491088517923
2022-10-21,123.61034073954093
2022-10-24,124.1585273390998
2022-10-25,123.510803273215
2022-10-26,125.47505166581693
2022-10-27,123.95632752124249
2022-10-28,125.79727972618271
2022-10-31,125.14228323261005
2022-11-01,125.09957913093133
2022-11-02,123.3253215637501
2022-11-03,124.3392302298601
2022-11-04,127.42968585000547
2022-11-07,127.85400357848584
2022-11-08,128.25434204325063
2022-11-09,126.2201025005798
2022-11-10,126.0562036001055
2022-11-11,126.86247822694112
2022-11-14,128.62101315067733
2022-11-15,128.0389028936709
2022-11-16,129.6748820407232
2022-11-17,127.65640895410392
2022-11-18,127.31414894627338
2022-11-21,127.22773664840186
2022-11-22,128.04509312140658
2022-11-23,128.88441243133173
2022-11-24,128.89678150393328
2022-11-25,126.73478358024732
2022-11-28,127.3918681914558
2022-11-29,129.39932932567515
2022-11-30,130.77077632762348
2022-12-01,131.32307512781594
2022-12-02,133.2338910646747
2022-12-05,135.37527747214725
2022-12-06,133.82439923444753
2022-12-07,132.61773975538455
2022-12-08,131.02850665833006
2022-12-09,129.9874171166831
2022-12-12,131.63216272932402
2022-12-13,130.28534039877164
2022-12-14,128.38602322972088
2022-12-15,127.61905170342594
2022-12-16,128.10791045900416
2022-12-19,128.28830360114182
2022-12-20,128.96235360055627
2022-12-21,125.6335021650142
2022-12-22,125.48278436049638
2022-12-23,125.52507421176028
2022-12-26,126.61776161173306
2022-12-27,128.1947365786244
2022-12-28,129.0403709383574
2022-12-29,129.51236627016925
2022-12-30,129.15152247703995
2023-01-02,129.08052395237615
2023-01-03,127.85931911602877
2023-01-04,127.58179592961795
2023-01-05,128.07700041118164
2023-01-06,129.56295335124108
2023-01-09,128.85578585641602
2023-01-10,129.36092973692405
2023-01-11,130.16537665806734
2023-01-12,130.565741740354
2023-01-13,129.8652305549006
2023-01-16,131.33702312826986
2023-01-17,133.00213735652704
2023-01-18,133.17080036608917
2023-01-19,132.98869936421397
2023-01-20,131.60460983239426
2023-01-23,131.12476367590088
2023-01-24,131.53338329674796
2023-01-25,131.444166769131
2023-01-26,129.8748536349937
2023-01-27,129.6727077435693
2023-01-30,131.72456085868498
2023-01-31,131.45189993993776
2023-02-01,132.31446226606965
2023-02-02,131.89493149845794
2023-02-03,131.19960615912493
2023-02-06,131.8850192939894
2023-02-07,130.71998342372808
2023-02-08,129.0974019828312
2023-02-09,130.81635369095008
2023-02-10,134.31364106311736
2023-02-13,136.41739142885555
2023-02-14,137.06894995504837
2023-02-15,135.9475406118545
2023-02-16,134.47332811270167
2023-02-17,134.9615818436312
2023-02-20,135.397160227047
2023-02-21,134.8327663831942
2023-02-22,136.5211214470096
2023-02-23,137.79117521638645
2023-02-24,135.4323826922387
