,VOO
2021-06-22,100.88715971417533
2021-06-23,100.91191845471552
2021-06-24,101.37237577283894
2021-06-25,101.90986478604829
2021-06-28,103.46571899035591
2021-06-29,103.85051880535595
2021-06-30,105.81267947217464
2021-07-01,105.66825181168215
2021-07-02,106.5928449340524
2021-07-05,106.35270067751435
2021-07-06,106.06300303017753
2021-07-07,105.86156951902682
2021-07-08,108.35437895017881
2021-07-09,108.92768610375913
2021-07-12,108.35120122586774
2021-07-13,108.73251678745213
2021-07-14,109.16980033188017
2021-07-15,108.98537798881587
2021-07-16,109.37290164570905
2021-07-19,110.5660574627435
2021-07-20,109.4145346630565
2021-07-21,109.88468576508292
2021-07-22,109.90917711368147
2021-07-23,111.16655824179315
2021-07-26,109.99834207429993
2021-07-27,112.43920127580705
2021-07-28,112.84467606276152
2021-07-29,112.15765709511881
2021-07-30,112.83930871404806
2021-08-02,111.90727198238602
2021-08-03,111.37403510402619
2021-08-04,111.91481655785569
2021-08-05,111.7805273901563
2021-08-06,112.111028397752
2021-08-09,113.80557394705365
2021-08-10,115.29630007349783
2021-08-11,116.59311473900287
2021-08-12,117.23381038210239
2021-08-13,116.43532353575057
2021-08-16,115.65906141501357
2021-08-17,116.66542748513551
2021-08-18,115.15672001600707
2021-08-19,115.85660634039317
2021-08-20,117.1777239377327
2021-08-23,114.55189074003707
2021-08-24,113.29301771424252
2021-08-25,112.53183395325654
2021-08-26,112.820860234383
2021-08-27,112.8122124539412
2021-08-30,113.28981249877555
2021-08-31,112.90187481798515
2021-09-01,111.40252606164634
2021-09-02,112.6748088970189
2021-09-03,111.7786206115658
2021-09-06,112.07433295084479
2021-09-07,112.55697322917821
2021-09-08,110.99850966241091
2021-09-09,111.6169823544856
2021-09-10,111.26715105995653
2021-09-13,112.39563728767162
2021-09-14,112.52360278610414
2021-09-15,111.7779269216123
2021-09-16,112.1299819952126
2021-09-17,111.27091453820455
2021-09-20,111.5797662116721
2021-09-21,112.86852273585046
2021-09-22,113.7764222822089
2021-09-23,113.55461242145441
2021-09-24,113.86687835323357
2021-09-27,113.14106024800543
2021-09-28,112.98892782241845
2021-09-29,113.24012014497953
2021-09-30,113.00540376328667
2021-10-01,114.4016715196216
2021-10-04,114.56988845287725
2021-10-05,114.43294064272811
2021-10-06,114.63842803746998
2021-10-07,115.13494632758028
2021-10-08,116.06269640154004
2021-10-11,116.52832984718027
2021-10-12,116.68603892027396
2021-10-13,116.6511443251843
2021-10-14,118.18888562273504
2021-10-15,118.27929490772769
2021-10-18,118.24688752727259
2021-10-19,118.18623205403118
2021-10-20,116.4692036563612
2021-10-21,118.65564610472698
2021-10-22,120.24864629679143
2021-10-25,119.68161029762167
