,XLK
2021-06-22,99.77285471280642
2021-06-23,100.19749907030663
2021-06-24,98.31748505175507
2021-06-25,97.9352421195944
2021-06-28,100.1145341305739
2021-06-29,101.03690063934265
2021-06-30,102.6554906832775
2021-07-01,103.77886130596472
2021-07-02,105.21915416415078
2021-07-05,106.96527062703095
2021-07-06,107.9234058344001
2021-07-07,107.00408191508537
2021-07-08,106.37231682217177
2021-07-09,106.31059619459093
2021-07-12,110.39742672438226
2021-07-13,112.84306768832342
2021-07-14,115.75741967878655
2021-07-15,115.89680095207993
2021-07-16,116.22883938020124
2021-07-19,116.19395391160361
2021-07-20,115.17605372499551
2021-07-21,114.84088392694925
2021-07-22,114.81960479068061
2021-07-23,115.4711222213466
2021-07-26,114.80707785589416
2021-07-27,116.02690472421737
2021-07-28,115.86026170508828
2021-07-29,115.87627029501671
2021-07-30,114.40311426978684
2021-08-02,114.75526493757854
2021-08-03,115.23796671107466
2021-08-04,116.19719671688797
2021-08-05,115.5052294509251
2021-08-06,116.54286815889039
2021-08-09,114.88690980666085
2021-08-10,114.53825057095477
2021-08-11,113.14995339823157
2021-08-12,112.49018425534634
2021-08-13,111.86091485423549
2021-08-16,110.3009458717507
2021-08-17,112.13665784449518
2021-08-18,112.90743158694366
2021-08-19,113.63534373042003
2021-08-20,113.28806585611927
2021-08-23,112.92632214658305
2021-08-24,114.00621385604708
2021-08-25,113.07587167782351
2021-08-26,113.60724582914324
2021-08-27,111.99583891169844
2021-08-30,113.60009818894423
2021-08-31,115.02601855186523
2021-09-01,116.4833150962685
2021-09-02,118.01079319210812
2021-09-03,119.67153483660536
2021-09-06,119.11815544268597
2021-09-07,121.4506418060544
2021-09-08,121.40352860889953
2021-09-09,120.51952546433608
2021-09-10,121.77716766019746
2021-09-13,120.16432903124144
2021-09-14,120.96549351872883
2021-09-15,121.67760216566272
2021-09-16,126.18138511785737
2021-09-17,126.6745127573213
2021-09-20,130.13762014369453
2021-09-21,132.64574306610305
2021-09-22,131.6346410528542
2021-09-23,132.08546590424152
2021-09-24,131.68449366065727
2021-09-27,130.20048572994165
2021-09-28,130.60697257280233
2021-09-29,131.8418528026899
2021-09-30,128.44695498253586
2021-10-01,126.93862107720572
2021-10-04,127.01224482247578
2021-10-05,126.92171207913286
2021-10-06,130.1948735479556
2021-10-07,127.501731545697
2021-10-08,127.56227337268713
2021-10-11,128.15973546396216
2021-10-12,126.88709522947097
2021-10-13,127.04705550181853
2021-10-14,129.90371397192146
2021-10-15,131.82088778574942
2021-10-18,130.94004393606627
2021-10-19,132.1903190152215
2021-10-20,132.256118622174
2021-10-21,130.4061296517369
2021-10-22,129.2599669702777
2021-10-25,131.28617206294913
2021-10-26,130.38250880796917
2021-10-27,131.78652020585045
2021-10-28,129.63533401431576
2021-10-29,129.62208164415384
2021-11-01,131.32733519548972
2021-11-02,130.43227446478386
2021-11-03,131.94361748758928
2021-11-04,134.34067879227698
2021-11-05,133.27433629388082
2021-11-08,134.7458885506938
2021-11-09,133.46137169987645
2021-11-10,134.23482784197233
2021-11-11,131.93111675597834
2021-11-12,131.75532148129096
2021-11-15,132.9711602276056
2021-11-16,130.9233929142671
2021-11-17,129.13859971562692
2021-11-18,128.27197580262762
2021-11-19,129.7275833694653
2021-11-22,130.19057824767683
2021-11-23,131.15671009250866
2021-11-24,133.90570716768894
2021-11-25,134.0588576941434
2021-11-26,134.04028132161656
2021-11-29,130.95973235637024
2021-11-30,129.78066831502332
2021-12-01,128.99681577855742
2021-12-02,130.65590005318438
2021-12-03,130.0252624178713
2021-12-06,128.79600198302606
2021-12-07,127.14479609719267
2021-12-08,127.36226313470458
2021-12-09,128.77596072208078
2021-12-10,128.1478040321465
2021-12-13,128.37768698406333
2021-12-14,127.09718028645733
2021-12-15,127.39474046064684
2021-12-16,127.18905306995987
2021-12-17,128.1487873050053
2021-12-20,124.73786595729834
2021-12-21,122.93448056207785
2021-12-22,123.46960646749207
2021-12-23,122.30511420489267
2021-12-24,122.52573255554763
2021-12-27,123.23804946677521
2021-12-28,122.6763217719838
2021-12-29,121.1792055472179
2021-12-30,118.4379386395735
2021-12-31,119.09683222301256
2022-01-03,119.00224798623876
2022-01-04,118.52252191017725
2022-01-05,117.99510410217779
2022-01-06,117.54254067188161
2022-01-07,117.03457928210854
2022-01-10,118.34786158888728
2022-01-11,116.81512441597968
2022-01-12,117.8527724240197
2022-01-13,116.39573234088974
2022-01-14,117.06630251104262
2022-01-17,116.97070330756662
2022-01-18,115.57165436709191
2022-01-19,118.21509764378749
2022-01-20,115.39094998778911
2022-01-21,114.11225917024264
2022-01-24,112.53727298562089
2022-01-25,112.89495761198785
2022-01-26,112.55111811093386
2022-01-27,112.66011637103526
2022-01-28,110.79716719636987
2022-01-31,110.46840998718098
2022-02-01,109.62824573645722
2022-02-02,110.10802899814402
2022-02-03,112.00966300515165
2022-02-04,110.01570230450292
2022-02-07,109.61304377427777
2022-02-08,110.08830523101506
2022-02-09,109.55929568105707
2022-02-10,109.8112022946131
2022-02-11,108.37680609224951
2022-02-14,110.54966365241225
2022-02-15,109.77021883376878
2022-02-16,109.9358742339846
2022-02-17,110.19304627420337
2022-02-18,109.46396242103297
2022-02-21,111.39852372666255
2022-02-22,113.29922815151583
2022-02-23,112.84891263742082
2022-02-24,111.71865194073212
2022-02-25,110.02544158231855
2022-02-28,108.8142939837281
2022-03-01,110.20546803437973
2022-03-02,110.67676767486235
2022-03-03,111.19065611580983
2022-03-04,111.25372622455012
2022-03-07,110.29222400695681
2022-03-08,112.16106637557965
2022-03-09,112.69323384209646
2022-03-10,112.7671794843347
2022-03-11,111.06497220074274
2022-03-14,111.49355318082281
2022-03-15,110.83279624013534
2022-03-16,114.37199399098348
2022-03-17,114.45107340558987
2022-03-18,111.80469249972562
2022-03-21,112.61884345134239
2022-03-22,113.82212585801244
2022-03-23,111.51176683268385
2022-03-24,114.08387266113115
2022-03-25,114.45741039551064
2022-03-28,115.84776743997939
2022-03-29,115.64715278237195
2022-03-30,118.62023551408652
2022-03-31,120.11602795431979
2022-04-01,118.95642903834201
2022-04-04,121.45897290166658
2022-04-05,120.07852868302957
2022-04-06,121.02032493852894
2022-04-07,122.78923392922296
2022-04-08,122.38580107061054
2022-04-11,119.01400313554448
2022-04-12,119.06292278382378
2022-04-13,118.79254733445912
2022-04-14,119.00504201579038
2022-04-15,117.388462489114
2022-04-18,118.94026982536703
2022-04-19,118.21258181697927
2022-04-20,116.13308923061498
2022-04-21,115.03434559884604
2022-04-22,115.49311762278245
2022-04-25,113.71611744320104
2022-04-26,115.37204686031237
2022-04-27,115.71846224678792
2022-04-28,112.9585527007655
2022-04-29,113.17694496673442
2022-05-02,112.17194510405994
2022-05-03,113.68890184032023
2022-05-04,113.70188226577092
2022-05-05,115.42776642497424
2022-05-06,116.22021092038557
2022-05-09,114.13152385699739
2022-05-10,112.15764130215295
2022-05-11,111.46952972266706
2022-05-12,112.12903791267368
2022-05-13,110.99717281931272
2022-05-16,112.53108209027363
2022-05-17,112.10384542229464
2022-05-18,111.82817862685211
2022-05-19,110.86169012342475
2022-05-20,111.27362850098963
2022-05-23,112.14380707205981
2022-05-24,114.30551431783691
2022-05-25,114.39690281537335
2022-05-26,115.54096378649072
2022-05-27,116.93377441162353
2022-05-30,115.67291872097516
2022-05-31,117.12074662582049
2022-06-01,117.67471542518075
2022-06-02,116.80559307342573
2022-06-03,117.17760668340556
2022-06-06,116.68886296203496
2022-06-07,115.06872958753334
2022-06-08,115.15945210816226
2022-06-09,112.79345693263917
2022-06-10,111.85751013278112
2022-06-13,112.68752048921988
2022-06-14,110.14508813173296
2022-06-15,108.50746971943992
2022-06-16,109.2179764824014
2022-06-17,109.7544313710608
2022-06-20,110.60837932434846
2022-06-21,109.51808846609259
2022-06-22,110.74165267269036
2022-06-23,110.13652416465168
2022-06-24,110.59638847673286
2022-06-27,110.63905344432894
2022-06-28,110.66576021927379
2022-06-29,110.99070561077127
2022-06-30,111.2371201836075
2022-07-01,111.5831318077803
2022-07-04,110.41046588810156
2022-07-05,111.81411028135817
2022-07-06,110.86473374049812
2022-07-07,111.70296461399494
2022-07-08,114.33695584462606
2022-07-11,114.96592140596587
2022-07-12,114.64775086633779
2022-07-13,113.61967381940654
